Sample,#Rawreads
F1606-058,132637966.0
F1604-045,130535322.0
F1604-007,129543242.0
F1605-009,123201286.0
F1604-022,122034446.0
F1513-133,120616851.0
F1606-023,120486254.0
F1604-009,117762934.0
F1604-042,117005415.0
F1602-078,113763987.0
F1602-081,111842531.0
F1604-032,111400205.0
F1606-031,110353625.0
F1602-076,109653891.0
F1604-008,109549289.0
F1513-080,108252248.0
F1602-118,105834859.0
F1513-039,104453935.0
F1606-033,104423695.0
F1602_007,103904714.0
F1608-022,103815173.0
F1604-015,103643611.0
F1605-001,103579359.0
F1604-036,103099179.0
F1606-045,101948351.0
F1513-070,101275103.0
F1513-130,100597886.0
F1606_024,100133592.0
F1606_019,99861406.0
F1608-024,98771882.0
F1605-008,98728656.0
F1513-194,98276715.0
F1513-140,98196243.0
F1606-029,97884938.0
F1513_069,97861926.0
F1513-179,97841735.0
F1604-001,97540979.0
F1602-092,96262446.0
F1605-012,95741762.0
F1605-043,95346953.0
F1605-013,94802359.0
F1513-059,94463646.0
F1513-020,94274630.0
F1605-010,93975400.0
F1513-002,93050452.0
F1606-003,92987408.0
F1606-051,92694651.0
F1513-200,91561148.0
F1602_013,91393769.0
F1606_017,91337159.0
F1604-044,91074617.0
F1606-053,90911643.0
F1606-036,90849163.0
F1606-059,90835032.0
F1606-021,90148678.0
F1602-111,89833031.0
F1604-014,89446284.0
F1513-193,89261324.0
F1604-010,89252417.0
F1608-025,89101256.0
F1513-115,89012832.0
F1513_147,88950737.0
F1608-028,88818427.0
F1513-014,88683007.0
F1513-036,88503752.0
F1513-060,88296375.0
F1602-105,88150637.0
F1513-068,88108973.0
F1513-120,88098203.0
F1606-039,88028503.0
F1513-156,87970482.0
F1513-105,87780353.0
F1605-042,87716842.0
F1606_011,87562969.0
F1513-093,87247125.0
F1606-056,87040501.0
F1602-085,86939817.0
F1608_008,86871175.0
F1606_020,86788219.0
F1513-005,86554789.0
F1513-015,86208537.0
F1513-112,86036439.0
F1608-015,85799126.0
F1604-031,85680626.0
F1513-113,85625444.0
F1513-003,85405471.0
F1513-111,85379381.0
F1602-119,85226660.0
F1513-088,85191318.0
F1513_189,85046754.0
F1602-025,84997874.0
F1513-004,84988461.0
F1513-208,84789672.0
F1513_108,84761248.0
F1606-032,84654410.0
F1606-005,84288711.0
F1608_004,84006586.0
F1602-048,83833923.0
F1513-037,83747847.0
F1513-107,83567754.0
F1602-091,83530597.0
F1602-077,83484590.0
