Sample	#Rawreads	Readslength(bp)	#HQpaid-endreads1	#HQpaid-endreads2	#HQreads	HQratio	#HQrmhostpair-endreads	#HQrmhostsingle-endreads	#HQrmhostreads
F1606-058	265275932	50	131599927	131804460	263404387	99,29%	262172374	1112195	263284569
F1604-045	261070644	50	129643702	128649729	258293431	98,94%	247631872	1975945	249607817
F1604-007	259086484	50	129014882	127202704	256217586	98,89%	251849712	2108939	253958651
F1605-009	246402572	50	122496781	121421860	243918641	98,99%	241657802	1929195	243586997
F1604-022	244068892	50	119005624	120093489	239099113	97,96%	234821120	3275255	238096375
F1513-133	241233702	50	119360773	118694464	238055237	98,68%	235456274	2490534	237946808
F1606-023	240972508	50	119723881	118712908	238436789	98,95%	234371954	2061477	236433431
F1604-009	235525868	50	117492753	116898539	234391292	99,52%	228789894	935073	229724967
F1604-042	234010830	50	116239537	115313757	231553294	98,95%	227237422	1805872	229043294
F1602-078	227527974	50	112589433	110961539	223550972	98,25%	216814672	2459887	219274559
F1602-081	223685062	50	110609783	109421553	220031336	98,37%	206429850	2454832	208884682
F1604-032	222800410	50	110402601	109366502	219769103	98,64%	217039102	1713917	218753019
F1606-031	220707250	50	109756587	109257197	219013784	99,23%	213133064	1340355	214473419
F1602-076	219307782	50	109084486	108421812	217506298	99,18%	210940492	1463704	212404196
F1604-008	219098578	50	108620422	107262946	215883368	98,53%	211000004	2517916	213517920
F1513-080	216504496	50	106967640	106383703	213351343	98,54%	208540446	2912562	211453008
F1602-118	211669718	50	103223683	104120305	207343988	97,96%	203561694	2878621	206440315
F1513-039	208907870	50	104330196	103579047	207909243	99,52%	205894844	937204	206832048
F1606-033	208847390	50	103341906	101949049	205290955	98,30%	202077282	2189394	204266676
F1602_007	207809428	50	103100351	101327926	204428277	98,37%	200807982	2629380	203437362
F1608-022	207630346	50	103009749	102841434	205851183	99,14%	200691318	1168029	201859347
F1604-015	207287222	50	103044235	102521562	205565797	99,17%	204210646	1225898	205436544
F1605-001	207158718	50	102783264	101254473	204037737	98,49%	200920696	2525939	203446635
F1604-036	206198358	50	102187472	101152394	203339866	98,61%	201314596	1661467	202976063
F1606-045	203896702	50	100560598	99763761	200324359	98,25%	197867296	2418860	200286156
F1513-070	202550206	50	100452344	99774873	200227217	98,85%	197048182	1630212	198678394
F1513-130	201195772	50	99799344	98880443	198679787	98,75%	45009624	473649	45483273
F1606_024	200267184	50	99844072	97483857	197327929	98,53%	184066614	2443039	186509653
F1606_019	199722812	50	99593124	97184656	196777780	98,53%	130120474	1942428	132062902
F1608-024	197543764	50	96262703	97104775	193367478	97,89%	189415154	2799857	192215011
F1605-008	197457312	50	98514997	97670526	196185523	99,36%	194756268	1133033	195889301
F1513-194	196553430	50	97777761	97047699	194825460	99,12%	193617482	1161733	194779215
F1513-140	196392486	50	97214794	96033912	193248706	98,40%	178689026	2734586	181423612
F1606-029	195769876	50	97178618	95934720	193113338	98,64%	186449682	2240158	188689840
F1513_069	195723852	50	97546450	95898828	193445278	98,84%	102348462	1237209	103585671
F1513-179	195683470	50	97476949	96295271	193772220	99,02%	182607050	1608905	184215955
F1604-001	195081958	50	96796409	95523023	192319432	98,58%	172339114	2039681	174378795
F1602-092	192524892	50	94985745	94018065	189003810	98,17%	161694616	2195936	163890552
F1605-012	191483524	50	95076208	94015857	189092065	98,75%	186418818	2028025	188446843
F1605-043	190693906	50	94606860	94366903	188973763	99,10%	187306450	1175735	188482185
F1605-013	189604718	50	94217485	92996491	187213976	98,74%	184929070	2035816	186964886
F1513-059	188927292	50	93321678	92910489	186232167	98,57%	175226858	2400116	177626974
F1513-020	188549260	50	94165360	93070307	187235667	99,30%	181906684	1244920	183151604
F1605-010	187950800	50	93391801	92317807	185709608	98,81%	183052020	1883755	184935775
F1513-002	186100904	50	92942906	91998464	184941370	99,38%	181104832	1097453	182202285
