,Sample_id,run_id
132637966,F1606-058,CL100023189_L02_35_1.fq.gz
130535322,F1604-045,CL100023189_L01_23_1.fq.gz
129543242,F1604-007,CL100017968_L01_2_1.fq.gz
123201286,F1605-009,CL100020565_L02_16_1.fq.gz
122034446,F1604-022,CL100020404_L01_7_1.fq.gz
120616851,F1513-133,CL100020242_L02_16_1.fq.gz
120486254,F1606-023,CL100017971_L01_7_1.fq.gz
117762934,F1604-009,CL100017968_L02_10_1.fq.gz
117005415,F1604-042,CL100023189_L01_21_1.fq.gz
113763987,F1602-078,CL100020456_L02_39_1.fq.gz
111842531,F1602-081,
111400205,F1604-032,CL100020401_L01_7_1.fq.gz
110353625,F1606-031,CL100017971_L02_13_1.fq.gz
109653891,F1602-076,CL100017971_L02_16_1.fq.gz
109549289,F1604-008,CL100020565_L01_4_1.fq.gz
108252248,F1513-080,CL100020243_L02_39_1.fq.gz
105834859,F1602-118,CL100020404_L01_3_1.fq.gz
104453935,F1513-039,CL100017973_L02_15_1.fq.gz
104423695,F1606-033,CL100020456_L02_32_1.fq.gz
103904714,F1602_007,CL100013749_L01_9_1.fq.gz
103815173,F1608-022,CL100023189_L02_32_1.fq.gz
103643611,F1604-015,CL100020565_L02_13_1.fq.gz
103579359,F1605-001,CL100020565_L01_5_1.fq.gz
103099179,F1604-036,CL100020401_L01_8_1.fq.gz
101948351,F1606-045,CL100020401_L02_9_1.fq.gz
101275103,F1513-070,CL100017975_L01_6_1.fq.gz
100597886,F1513-130,CL100017975_L02_16_1.fq.gz
100133592,F1606_024,CL100013749_L02_7_1.fq.gz
99861406,F1606_019,CL100013749_L02_1_1.fq.gz
98771882,F1608-024,CL100020404_L01_4_1.fq.gz
98728656,F1605-008,CL100017968_L02_16_1.fq.gz
98276715,F1513-194,CL100020425_L02_32_1.fq.gz
98196243,F1513-140,CL100017863_L01_2_1.fq.gz
97884938,F1606-029,CL100020456_L01_23_1.fq.gz
97861926,F1513_069,CL100013751_L01_16_1.fq.gz
97841735,F1513-179,CL100020425_L01_21_1.fq.gz
97540979,F1604-001,CL100020565_L01_3_1.fq.gz
96262446,F1602-092,CL100020401_L02_16_1.fq.gz
95741762,F1605-012,CL100020456_L01_17_1.fq.gz
95346953,F1605-043,CL100023189_L02_39_1.fq.gz
94802359,F1605-013,CL100017971_L01_2_1.fq.gz
94463646,F1513-059,CL100020243_L02_35_1.fq.gz
94274630,F1513-020,CL100017973_L02_14_1.fq.gz
93975400,F1605-010,CL100017971_L01_1_1.fq.gz
93050452,F1513-002,CL100017973_L02_9_1.fq.gz
92987408,F1606-003,CL100017968_L01_5_1.fq.gz
92694651,F1606-051,CL100017972_L01_8_1.fq.gz
91561148,F1513-200,CL100020425_L02_38_1.fq.gz
91393769,F1602_013,CL100013749_L01_11_1.fq.gz
91337159,F1606_017,CL100013749_L01_16_1.fq.gz
91074617,F1604-044,CL100023189_L01_22_1.fq.gz
90911643,F1606-053,CL100017972_L02_9_1.fq.gz
90849163,F1606-036,CL100020456_L02_35_1.fq.gz
90835032,F1606-059,CL100017972_L02_14_1.fq.gz
90148678,F1606-021,CL100020456_L01_21_1.fq.gz
89833031,F1602-111,CL100017973_L01_1_1.fq.gz
89446284,F1604-014,CL100017968_L02_13_1.fq.gz
89261324,F1513-193,CL100020425_L01_24_1.fq.gz
89252417,F1604-010,CL100017968_L02_11_1.fq.gz
89101256,F1608-025,CL100017973_L01_6_1.fq.gz
89012832,F1513-115,CL100017975_L02_15_1.fq.gz
88950737,F1513_147,CL100013751_L02_7_1.fq.gz
88818427,F1608-028,CL100020404_L01_5_1.fq.gz
88683007,F1513-014,CL100020243_L01_17_1.fq.gz
88503752,F1513-036,CL100020243_L01_23_1.fq.gz
88296375,F1513-060,CL100017975_L01_3_1.fq.gz
88150637,F1602-105,CL100017972_L02_16_1.fq.gz
88108973,F1513-068,CL100017975_L01_5_1.fq.gz
88098203,F1513-120,CL100020242_L02_11_1.fq.gz
88028503,F1606-039,CL100020401_L01_5_1.fq.gz
87970482,F1513-156,CL100020425_L01_19_1.fq.gz
87780353,F1513-105,CL100017975_L02_14_1.fq.gz
87716842,F1605-042,CL100023189_L02_38_1.fq.gz
87562969,F1606_011,CL100013749_L01_15_1.fq.gz
87247125,F1513-093,CL100017975_L02_12_1.fq.gz
87040501,F1606-056,CL100017972_L02_11_1.fq.gz
86939817,F1602-085,CL100017972_L01_6_1.fq.gz
86871175,F1608_008,CL100013749_L02_2_1.fq.gz
86788219,F1606_020,CL100006375_L02_13_1.fq.gz
86554789,F1513-005,CL100020404_L02_11_1.fq.gz
86208537,F1513-015,CL100017973_L02_12_1.fq.gz
86036439,F1513-112,CL100020242_L01_8_1.fq.gz
85799126,F1608-015,CL100020456_L01_18_1.fq.gz
85680626,F1604-031,CL100020401_L01_6_1.fq.gz
85625444,F1513-113,CL100020242_L02_9_1.fq.gz
85405471,F1513-003,CL100020404_L02_9_1.fq.gz
85379381,F1513-111,CL100020242_L01_7_1.fq.gz
85226660,F1602-119,CL100017973_L01_5_1.fq.gz
85191318,F1513-088,CL100020242_L01_1_1.fq.gz
85046754,F1513_189,CL100013689_L01_16_1.fq.gz
84997874,F1602-025,CL100020565_L02_12_1.fq.gz
84988461,F1513-004,CL100020404_L02_10_1.fq.gz
84789672,F1513-208,CL100020425_L02_39_1.fq.gz
84761248,F1513_108,CL100013751_L02_2_1.fq.gz
84654410,F1606-032,CL100020456_L01_24_1.fq.gz
84288711,F1606-005,CL100017968_L01_7_1.fq.gz
84006586,F1608_004,CL100006375_L02_9_1.fq.gz
83833923,F1602-048,CL100017971_L01_5_1.fq.gz
83747847,F1513-037,CL100020243_L01_24_1.fq.gz
83567754,F1513-107,CL100020242_L01_5_1.fq.gz
83530597,F1602-091,CL100017972_L01_7_1.fq.gz
83484590,F1602-077,CL100020456_L02_38_1.fq.gz
83413396,F1513-176,CL100017863_L02_12_1.fq.gz
83158462,F1513-038,CL100020243_L02_32_1.fq.gz
83122662,F1602-080,CL100020401_L01_1_1.fq.gz
83018615,F1513-034,CL100020243_L01_21_1.fq.gz
82981061,F1605-035,CL100017972_L02_13_1.fq.gz
82970853,F1605-040,CL100017973_L01_2_1.fq.gz
82882879,F1605-044,CL100017973_L01_3_1.fq.gz
82599075,F1513-012,CL100020404_L02_16_1.fq.gz
82530431,F1606_052,CL100013751_L01_9_1.fq.gz
82441957,F1513_047,CL100013751_L01_13_1.fq.gz
82309961,F1513_057,CL100013751_L01_15_1.fq.gz
82215284,F1602-009,CL100020565_L01_2_1.fq.gz
82193601,F1604_012_1,CL100006210_L01_5_1.fq.gz
82164910,F1604-011,CL100017968_L02_12_1.fq.gz
81996155,F1513-075,CL100017975_L01_7_1.fq.gz
81967251,F1606_040,CL100006375_L02_16_1.fq.gz
81799240,F1513-011,CL100020404_L02_15_1.fq.gz
81486763,F1602-100,CL100017972_L02_12_1.fq.gz
81223201,F1513-092,CL100020242_L01_2_1.fq.gz
81091240,F1513_074,CL100013751_L02_1_1.fq.gz
81072913,F1513-169,CL100017863_L02_11_1.fq.gz
81030800,F1606-013,CL100017968_L02_15_1.fq.gz
81027337,F1606-047,CL100020401_L02_10_1.fq.gz
81007797,F1513_159,CL100013689_L01_11_1.fq.gz
81003026,F1604_012_2,CL100006210_L01_6_1.fq.gz
80915600,F1513-087,CL100017975_L02_11_1.fq.gz
80862044,F1513-137,CL100020425_L01_17_1.fq.gz
80820121,F1513_116,CL100013751_L02_4_1.fq.gz
80753088,F1608-027,CL100017973_L01_8_1.fq.gz
80736488,F1608-026,CL100017973_L01_7_1.fq.gz
80574372,F1602-112,CL100020404_L01_1_1.fq.gz
80469586,F1513-132,CL100020242_L02_15_1.fq.gz
80248510,F1513-049,CL100017975_L01_1_1.fq.gz
80138996,F1606-048,CL100020401_L02_11_1.fq.gz
80108990,F1606_002,CL100006375_L02_11_1.fq.gz
79881759,F1513-199,CL100017863_L02_15_1.fq.gz
79840237,F1513-058,CL100017975_L01_2_1.fq.gz
79832620,F1606-041,CL100017972_L01_2_1.fq.gz
79809355,F1513_131,CL100013751_L02_5_1.fq.gz
79374636,F1606-008,CL100020565_L02_11_1.fq.gz
79323570,F1513-095,CL100020242_L01_3_1.fq.gz
79212052,F1513-010,CL100020404_L02_14_1.fq.gz
79030710,F1513-017,CL100020243_L01_19_1.fq.gz
78960503,F1513-157,CL100017863_L01_7_1.fq.gz
78956459,F1606-007,CL100020565_L02_10_1.fq.gz
78884592,F1606-038,CL100020401_L01_4_1.fq.gz
78557350,F1602-079,CL100020456_L02_40_1.fq.gz
78539860,F1513-109,CL100020242_L01_6_1.fq.gz
78359755,F1513_152,
77934141,F1606-022,CL100017971_L01_6_1.fq.gz
