Dataset	ID	Country	gender	age,days,	Breed	isolation,location	type	Feed	Temperature	Lys	Housing	vaccine	vægt	humidity	sequencing,method	DNA,extraction	Sample,replicate	location_name,farm,	farm_ID	G bases	avg Mbases
Huang	SRR6323134	China	male	42	Arbor Acres broiler	cecum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Beijing	china1	2,40	
Huang	SRR6323252	China	male	42	Arbor Acres broiler	duodenum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Beijing	china1	2,80	
Huang	SRR6323384	China	male	42	Arbor Acres broiler	ileum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Beijing	china1	2,60	
Huang	SRR6323414	China	male	42	Arbor Acres broiler	jejunum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Beijing	china1	3,00	
Huang	SRR6323550	China	male	42	Arbor Acres broiler	colorectum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Beijing	china1	3,00	
Huang	SRR6323556	China	female	42	Local yellow-feather chickens	cecum	layer	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Hunan	china2	4,60	
Huang	SRR6323530	China	female	42	Local yellow-feather chickens	ileum	layer	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Hunan	china2	2,50	
Huang	SRR6323503	China	female	42	Local yellow-feather chickens	colorectum	layer	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Hunan	china2	4,20	
Huang	SRR6323350	China	female	42	Local yellow-feather chickens	jejunum	layer	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Hunan	china2	1,70	
Huang	SRR6323197	China	female	42	Local yellow-feather chickens	duodenum	layer	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		pooled digesta from five chickens	China:Hunan	china2	3,20	
Huang	SRR6323250	China	male	42	Arbor Acres broiler	cecum	broiler	None	reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,	20 h light and 4 h dark	cage	Combined Newcastle disease virus (NDV) and infectious bronchitis virus	NA	NA	HiSeq X Ten		digesta from one chicken (biological replicate 2)	China:Beijing	china3	3,50	
