Species: ['s__'], Genus: ['g__' 'g__Barnesiella'], Family: ['f__Coprobacteraceae' 'f__Barnesiellaceae'], Cluster: [1] 
Species: ['s__Corynebacterium pollutisoli' 's__Corynebacterium xerosis'], Genus: [], Family: [], Cluster: [456] 
Species: ['s__Escherichia flexneri' 's__Escherichia coli_D'], Genus: [], Family: [], Cluster: [672] 
Species: ['s__'], Genus: ['g__UBA2856' 'g__RUG12045'], Family: [], Cluster: [1149] 
Species: ['s__'], Genus: ['g__UMGS1375' 'g__GCA-900066135'], Family: [], Cluster: [1793] 
Species: ['s__Sellimonas sp002161525' 's__'], Genus: ['g__Sellimonas' 'g__Mediterraneibacter'], Family: [], Cluster: [2991] 
Species: ['s__'], Genus: ['g__Rubneribacter' 'g__Paraeggerthella'], Family: [], Cluster: [3056] 
Species: ['s__'], Genus: ['g__' 'g__Barnesiella'], Family: ['f__Coprobacteraceae' 'f__Barnesiellaceae'], Cluster: [1] 
Species: ['s__Corynebacterium pollutisoli' 's__Corynebacterium xerosis'], Genus: [], Family: [], Cluster: [456] 
Species: ['s__Escherichia flexneri' 's__Escherichia coli_D'], Genus: [], Family: [], Cluster: [672] 
Species: ['s__'], Genus: ['g__RUG12045' 'g__UBA2856'], Family: [], Cluster: [1149] 
Species: ['s__'], Genus: ['g__UMGS1375' 'g__GCA-900066135'], Family: [], Cluster: [1793] 
Species: ['s__Sellimonas sp002161525' 's__'], Genus: ['g__Sellimonas' 'g__Mediterraneibacter'], Family: [], Cluster: [2991] 
Species: ['s__'], Genus: ['g__Rubneribacter' 'g__Paraeggerthella'], Family: [], Cluster: [3056] 
Species: ['s__'], Genus: ['g__' 'g__Barnesiella'], Family: ['f__Coprobacteraceae' 'f__Barnesiellaceae'], Cluster: [1] 
Species: ['s__Corynebacterium pollutisoli' 's__Corynebacterium xerosis'], Genus: [], Family: [], Cluster: [456] 
Species: ['s__Escherichia flexneri' 's__Escherichia coli_D'], Genus: [], Family: [], Cluster: [672] 
Species: ['s__'], Genus: ['g__UBA2856' 'g__RUG12045'], Family: [], Cluster: [1149] 
Species: ['s__'], Genus: ['g__UMGS1375' 'g__GCA-900066135'], Family: [], Cluster: [1793] 
Species: ['s__Sellimonas sp002161525' 's__'], Genus: ['g__Sellimonas' 'g__Mediterraneibacter'], Family: [], Cluster: [2991] 
Species: ['s__'], Genus: ['g__Rubneribacter' 'g__Paraeggerthella'], Family: [], Cluster: [3056] 
Species: ['s__'], Genus: ['g__' 'g__Barnesiella'], Family: ['f__Coprobacteraceae' 'f__Barnesiellaceae'], Cluster: [1] 
Species: ['s__Corynebacterium pollutisoli' 's__Corynebacterium xerosis'], Genus: [], Family: [], Cluster: [456] 
Species: ['s__Escherichia flexneri' 's__Escherichia coli_D'], Genus: [], Family: [], Cluster: [672] 
Species: ['s__'], Genus: ['g__UBA2856' 'g__RUG12045'], Family: [], Cluster: [1149] 
Species: ['s__'], Genus: ['g__UMGS1375' 'g__GCA-900066135'], Family: [], Cluster: [1793] 
Species: ['s__Sellimonas sp002161525' 's__'], Genus: ['g__Sellimonas' 'g__Mediterraneibacter'], Family: [], Cluster: [2991] 
Species: ['s__'], Genus: ['g__Rubneribacter' 'g__Paraeggerthella'], Family: [], Cluster: [3056] 
