Total Removed:          	284094 reads (0.30%) 	688762478 bases (4.78%)
Total Removed:          	159254 reads (0.17%) 	615379398 bases (4.37%)
Total Removed:          	146962 reads (0.14%) 	862174844 bases (5.61%)
Total Removed:          	137792 reads (0.16%) 	716070478 bases (5.40%)
Total Removed:          	32452 reads (0.04%) 	721948044 bases (5.89%)
Total Removed:          	135514 reads (0.15%) 	1109707860 bases (8.21%)
Total Removed:          	37618 reads (0.04%) 	1219575250 bases (8.37%)
Total Removed:          	78308 reads (0.09%) 	1210601796 bases (9.31%)
Total Removed:          	92588 reads (0.11%) 	597802678 bases (4.67%)
Total Removed:          	83630 reads (0.11%) 	1153036750 bases (9.89%)
Total Removed:          	28148 reads (0.03%) 	1010726522 bases (6.17%)
Total Removed:          	46188 reads (0.04%) 	1484261078 bases (8.27%)
Total Removed:          	60960 reads (0.06%) 	758700842 bases (5.35%)
Total Removed:          	120620 reads (0.12%) 	1257746790 bases (8.23%)
Total Removed:          	39866 reads (0.04%) 	873233276 bases (6.28%)
Total Removed:          	53278 reads (0.06%) 	1001740572 bases (7.10%)
Total Removed:          	53062 reads (0.06%) 	966622822 bases (6.84%)
Total Removed:          	49574 reads (0.05%) 	990604364 bases (6.21%)
Total Removed:          	374232 reads (0.48%) 	675543684 bases (5.73%)
Total Removed:          	151342 reads (0.15%) 	836094190 bases (5.52%)
Total Removed:          	2152 reads (0.01%) 	200155211 bases (4.31%)
Total Removed:          	42 reads (0.00%) 	86389834 bases (3.63%)
Total Removed:          	832 reads (0.00%) 	160167387 bases (4.08%)
Total Removed:          	416 reads (0.00%) 	139593853 bases (4.11%)
Total Removed:          	24 reads (0.00%) 	117899061 bases (3.70%)
Total Removed:          	444 reads (0.00%) 	203926439 bases (4.07%)
Total Removed:          	824 reads (0.00%) 	248272888 bases (3.47%)
Total Removed:          	702 reads (0.00%) 	208161927 bases (4.39%)
Total Removed:          	1196 reads (0.00%) 	192981008 bases (4.38%)
Total Removed:          	46 reads (0.00%) 	108154709 bases (3.82%)
Total Removed:          	72 reads (0.00%) 	120302822 bases (3.86%)
Total Removed:          	56 reads (0.00%) 	137186767 bases (3.84%)
Total Removed:          	64 reads (0.00%) 	111079326 bases (3.96%)
Total Removed:          	256 reads (0.00%) 	132277032 bases (4.06%)
Total Removed:          	470 reads (0.00%) 	196412354 bases (3.44%)
Total Removed:          	1036 reads (0.00%) 	208564321 bases (4.07%)
Total Removed:          	500 reads (0.00%) 	237385681 bases (3.44%)
Total Removed:          	448 reads (0.00%) 	190328149 bases (3.43%)
Total Removed:          	14 reads (0.00%) 	58080458 bases (3.48%)
Total Removed:          	742 reads (0.00%) 	175926709 bases (4.11%)
Total Removed:          	16 reads (0.00%) 	96970965 bases (3.74%)
Total Removed:          	30 reads (0.00%) 	110386957 bases (3.73%)
Total Removed:          	674 reads (0.00%) 	165009201 bases (4.06%)
Total Removed:          	478 reads (0.00%) 	207500228 bases (4.37%)
Total Removed:          	568 reads (0.00%) 	257104810 bases (3.44%)
Total Removed:          	138 reads (0.00%) 	145764521 bases (3.49%)
Total Removed:          	358 reads (0.00%) 	170727456 bases (4.10%)
Total Removed:          	452 reads (0.00%) 	195792293 bases (3.44%)
Total Removed:          	84 reads (0.00%) 	88420787 bases (3.50%)
Total Removed:          	22 reads (0.00%) 	108333845 bases (3.58%)
Total Removed:          	160 reads (0.00%) 	159720896 bases (3.48%)
Total Removed:          	4 reads (0.00%) 	230066209 bases (3.42%)
Total Removed:          	0 reads (0.00%) 	194922007 bases (3.38%)
Total Removed:          	0 reads (0.00%) 	203544048 bases (3.41%)
Total Removed:          	2 reads (0.00%) 	194172792 bases (3.43%)
Total Removed:          	10 reads (0.00%) 	199676752 bases (3.43%)
