host_contamination_singles_output:mapped:          	  0.6519% 	     9543 	  0.5905% 	     1133058
host_contamination_singles_output:mapped:          	  2.1601% 	    30118 	  1.9565% 	     3699990
host_contamination_singles_output:mapped:          	  0.3731% 	     5160 	  0.3448% 	      651744
host_contamination_singles_output:mapped:          	  6.0397% 	    76132 	  5.6171% 	     9149025
host_contamination_singles_output:mapped:          	  2.9842% 	    32344 	  2.6213% 	     3817675
host_contamination_singles_output:mapped:          	  0.8176% 	    14683 	  0.7366% 	     1655289
host_contamination_singles_output:mapped:          	  1.5719% 	    28957 	  1.4214% 	     3300313
host_contamination_singles_output:mapped:          	  2.5500% 	    44766 	  2.2692% 	     4849213
host_contamination_singles_output:mapped:          	  2.8418% 	    32340 	  2.5522% 	     3930651
host_contamination_singles_output:mapped:          	  1.9019% 	    38305 	  1.7914% 	     4584266
host_contamination_singles_output:mapped:          	  0.9061% 	    18602 	  0.8161% 	     2099826
host_contamination_singles_output:mapped:          	  0.9740% 	    20184 	  0.8437% 	     2191175
host_contamination_singles_output:mapped:          	  4.5353% 	    64532 	  4.2053% 	     8052116
host_contamination_singles_output:mapped:          	  1.5127% 	    28061 	  1.3643% 	     3169251
host_contamination_singles_output:mapped:          	  0.3463% 	     7163 	  0.3195% 	      844637
host_contamination_singles_output:mapped:          	  0.4155% 	     7591 	  0.3762% 	      865190
host_contamination_singles_output:mapped:          	  0.8797% 	    15181 	  0.7832% 	     1727837
host_contamination_singles_output:mapped:          	  0.7912% 	    17065 	  0.6996% 	     1922909
host_contamination_singles_output:mapped:          	  2.0389% 	    17412 	  1.7689% 	     2027178
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	  1.6563% 	    19589 	  1.4190% 	     2266450
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	  2.4721% 	     4312 	  2.3061% 	      533252
host_contamination_singles_output:mapped:          	  1.5502% 	     2966 	  1.4211% 	      376436
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	  0.2151% 	      304 	  0.1898% 	       35935
host_contamination_singles_output:mapped:          	  6.5975% 	    11723 	  5.9942% 	     1393153
host_contamination_singles_output:mapped:          	     NaN% 	        0 	     NaN% 	           0
host_contamination_singles_output:mapped:          	 16.6051% 	    26888 	 16.0872% 	     3398631
contamination_output_paired:mapped:          	  0.6456% 	   295642 	  0.6144% 	    40289626
contamination_output_paired:mapped:          	  0.6475% 	   296518 	  0.6170% 	    39922756
contamination_output_paired:mapped:          	  2.0300% 	   997046 	  1.9653% 	   137515786
contamination_output_paired:mapped:          	  2.0319% 	   997933 	  1.9688% 	   135397896
contamination_output_paired:mapped:          	  0.4037% 	   181366 	  0.3945% 	    25572933
contamination_output_paired:mapped:          	  0.4008% 	   180045 	  0.3921% 	    24979406
contamination_output_paired:mapped:          	  4.5542% 	  1924177 	  4.4092% 	   265645943
contamination_output_paired:mapped:          	  4.5712% 	  1931371 	  4.3946% 	   259800917
contamination_output_paired:mapped:          	  2.3005% 	   902284 	  2.1760% 	   121006172
contamination_output_paired:mapped:          	  2.3114% 	   906559 	  2.1721% 	   118912908
contamination_output_paired:mapped:          	  0.7630% 	   324732 	  0.7174% 	    41951777
contamination_output_paired:mapped:          	  0.7677% 	   326716 	  0.7436% 	    38948981
contamination_output_paired:mapped:          	  1.4756% 	   679733 	  1.3960% 	    88132735
contamination_output_paired:mapped:          	  1.4869% 	   684923 	  1.4502% 	    82010901
contamination_output_paired:mapped:          	  1.3789% 	   496963 	  1.2110% 	    58721045
contamination_output_paired:mapped:          	  1.3981% 	   503888 	  1.2948% 	    54788896
contamination_output_paired:mapped:          	  1.8212% 	   947574 	  1.7600% 	   128417284
contamination_output_paired:mapped:          	  1.8325% 	   953475 	  1.8023% 	   117929259
contamination_output_paired:mapped:          	  2.0513% 	   838451 	  1.9189% 	   106320854
contamination_output_paired:mapped:          	  2.0637% 	   843505 	  1.9981% 	    99340281
contamination_output_paired:mapped:          	  1.0426% 	   592879 	  0.9748% 	    76102070
contamination_output_paired:mapped:          	  1.0658% 	   606034 	  1.0202% 	    71890071
contamination_output_paired:mapped:          	  4.5331% 	  2051588 	  4.4175% 	   285098210
contamination_output_paired:mapped:          	  4.5425% 	  2055838 	  4.4167% 	   279888676
contamination_output_paired:mapped:          	  1.5523% 	   751577 	  1.4367% 	    95422329
contamination_output_paired:mapped:          	  1.5650% 	   757769 	  1.4900% 	    89229830
contamination_output_paired:mapped:          	  0.4089% 	   178739 	  0.3900% 	    23877434
contamination_output_paired:mapped:          	  0.4179% 	   182687 	  0.4083% 	    21948088
contamination_output_paired:mapped:          	  0.4001% 	   178396 	  0.3761% 	    23292053
contamination_output_paired:mapped:          	  0.4067% 	   181364 	  0.3878% 	    21609020
contamination_output_paired:mapped:          	  0.8541% 	   383008 	  0.8006% 	    50029888
contamination_output_paired:mapped:          	  0.8669% 	   388757 	  0.8362% 	    46789645
contamination_output_paired:mapped:          	  0.8525% 	   429389 	  0.7858% 	    55482798
contamination_output_paired:mapped:          	  0.8673% 	   436865 	  0.8194% 	    51683577
contamination_output_paired:mapped:          	  1.1970% 	   582147 	  1.0937% 	    75787717
contamination_output_paired:mapped:          	  1.2020% 	   584582 	  1.0946% 	    74698840
contamination_output_paired:mapped:          	  1.4225% 	   537366 	  1.3214% 	    71168765
contamination_output_paired:mapped:          	  1.4289% 	   539786 	  1.3244% 	    70267313
contamination_output_paired:mapped:          	  0.0051% 	      962 	  0.0047% 	      104852
contamination_output_paired:mapped:          	  0.0054% 	     1012 	  0.0049% 	      108841
contamination_output_paired:mapped:          	  0.0027% 	      230 	  0.0022% 	       26759
contamination_output_paired:mapped:          	  0.0040% 	      337 	  0.0031% 	       33551
contamination_output_paired:mapped:          	  0.0086% 	     1183 	  0.0082% 	      133329
contamination_output_paired:mapped:          	  0.0087% 	     1200 	  0.0081% 	      132589
contamination_output_paired:mapped:          	  0.5754% 	    63552 	  0.5305% 	     8281496
contamination_output_paired:mapped:          	  0.5825% 	    64335 	  0.5267% 	     7922325
contamination_output_paired:mapped:          	  0.0034% 	      533 	  0.0032% 	       60309
contamination_output_paired:mapped:          	  0.0037% 	      583 	  0.0035% 	       65203
