Bin Id,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,bin_class,class_3
S10C10200,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C1032,o__Bacteroidales (UID2654),163,486,266,298,186,2,0,0,0,38.94,0.38,0.0,3,2
S10C1039,o__Lactobacillales (UID355),490,334,183,3,331,0,0,0,0,98.91,0.0,0.0,0,0
S10C1094,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,14.66,0.0,0.0,3,2
S10C10947,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C1113,o__Lactobacillales (UID355),490,332,181,1,331,0,0,0,0,99.45,0.0,0.0,0,0
S10C119,o__Lactobacillales (UID375),177,350,163,86,261,3,0,0,0,71.36,1.07,100.0,1,1
S10C1295,o__Campylobacterales (UID3068),106,477,284,224,249,4,0,0,0,52.55,0.66,25.0,2,1
S10C1297,o__Lactobacillales (UID374),471,350,191,8,341,1,0,0,0,96.6,0.26,0.0,0,0
S10C13511,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C15900,p__Bacteroidetes (UID2605),350,314,208,1,311,2,0,0,0,99.52,0.96,0.0,0,0
S10C1752,o__Lactobacillales (UID374),471,350,191,60,290,0,0,0,0,77.49,0.0,0.0,1,1
S10C1785,k__Bacteria (UID203),5449,102,56,75,27,0,0,0,0,42.86,0.0,0.0,3,2
S10C18,o__Actinomycetales (UID1812),229,457,227,89,364,4,0,0,0,77.88,0.8,75.0,1,1
S10C181,c__Bacilli (UID285),586,325,181,131,192,2,0,0,0,66.1,0.25,100.0,1,1
S10C188,o__Lactobacillales (UID355),490,336,184,10,326,0,0,0,0,95.38,0.0,0.0,0,0
S10C205,g__Lactobacillus (UID377),91,430,154,43,385,2,0,0,0,92.48,0.21,100.0,0,0
S10C2119,k__Bacteria (UID203),5449,104,58,80,24,0,0,0,0,36.21,0.0,0.0,3,2
S10C2273,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,3,2
S10C2408,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C2475,k__Bacteria (UID203),5449,104,58,92,12,0,0,0,0,18.97,0.0,0.0,3,2
S10C2556,k__Bacteria (UID203),5449,103,57,49,53,1,0,0,0,73.68,1.75,0.0,1,1
S10C2784,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C313,k__Bacteria (UID203),5449,104,58,98,6,0,0,0,0,9.48,0.0,0.0,3,2
S10C3159,k__Bacteria (UID203),5449,104,58,95,9,0,0,0,0,12.07,0.0,0.0,3,2
S10C3342,o__Lactobacillales (UID355),490,334,183,274,60,0,0,0,0,15.33,0.0,0.0,3,2
S10C3391,k__Bacteria (UID203),5449,100,55,99,1,0,0,0,0,0.18,0.0,0.0,3,2
S10C346,root (UID1),5656,56,24,55,1,0,0,0,0,1.04,0.0,0.0,3,2
S10C3578,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C362,g__Lactobacillus (UID377),91,430,154,82,345,3,0,0,0,88.12,0.65,100.0,1,1
S10C3635,k__Bacteria (UID203),5449,103,57,82,21,0,0,0,0,23.29,0.0,0.0,3,2
S10C3913,o__Lactobacillales (UID374),471,350,191,5,343,2,0,0,0,98.06,1.05,0.0,0,0
S10C392,k__Bacteria (UID203),5449,104,58,81,22,1,0,0,0,36.03,1.72,100.0,3,2
S10C40318,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,3,2
S10C4158,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,3,2
S10C4178,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C4206,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C442,o__Lactobacillales (UID355),490,336,184,15,320,1,0,0,0,94.73,0.54,100.0,0,0
S10C455,o__Lactobacillales (UID374),471,350,191,6,333,10,1,0,0,97.38,3.84,15.38,0,0
S10C468,k__Bacteria (UID203),5449,104,58,101,3,0,0,0,0,3.61,0.0,0.0,3,2
S10C488,o__Actinomycetales (UID1809),267,396,219,29,360,7,0,0,0,92.35,1.37,100.0,0,0
S10C562,c__Gammaproteobacteria (UID4387),965,277,177,75,198,4,0,0,0,65.11,1.46,50.0,1,1
S10C569,g__Lactobacillus (UID380),58,449,129,8,441,0,0,0,0,96.9,0.0,0.0,0,0
S10C61,g__Campylobacter (UID3076),40,926,174,390,533,3,0,0,0,55.31,0.13,0.0,1,1
S10C6361,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S10C672,f__Enterobacteriaceae (UID5162),88,1207,328,350,836,21,0,0,0,64.72,1.71,66.67,1,1
S10C8237,k__Bacteria (UID203),5449,104,58,65,39,0,0,0,0,56.03,0.0,0.0,1,1
S10C85,o__Lactobacillales (UID544),293,475,267,11,461,3,0,0,0,97.0,0.75,0.0,0,0
S10C86,c__Bacilli (UID285),586,325,181,49,267,9,0,0,0,81.96,2.29,55.56,1,1
S10C90,p__Bacteroidetes (UID2605),350,314,208,244,70,0,0,0,0,20.83,0.0,0.0,3,2
S10C92,o__Actinomycetales (UID1572),580,286,172,12,270,4,0,0,0,94.77,1.54,75.0,0,0
S10C962,o__Campylobacterales (UID3068),106,477,284,19,456,2,0,0,0,94.54,0.47,100.0,0,0
S10C995,k__Bacteria (UID203),5449,104,58,97,7,0,0,0,0,12.07,0.0,0.0,3,2
S11C10001,k__Bacteria (UID203),5449,103,58,95,8,0,0,0,0,12.93,0.0,0.0,3,2
S11C1035,k__Bacteria (UID2329),174,149,89,52,95,2,0,0,0,75.73,1.69,0.0,1,1
S11C1046,k__Bacteria (UID203),5449,104,58,72,32,0,0,0,0,38.73,0.0,0.0,3,2
S11C119,o__Lactobacillales (UID375),177,350,163,115,230,5,0,0,0,65.12,1.71,60.0,1,1
S11C1247,k__Bacteria (UID203),5449,104,58,100,3,0,1,0,0,2.23,1.72,66.67,3,2
S11C14,p__Proteobacteria (UID3887),1487,255,158,147,107,1,0,0,0,43.71,0.32,0.0,3,2
S11C15552,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,3,2
S11C16169,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S11C1625,p__Firmicutes (UID1022),100,295,158,4,290,1,0,0,0,98.73,0.63,0.0,0,0
S11C1746,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,14.66,0.0,0.0,3,2
S11C1752,k__Bacteria (UID203),5449,104,58,78,26,0,0,0,0,36.21,0.0,0.0,3,2
S11C1796,k__Bacteria (UID203),5449,103,57,60,42,1,0,0,0,60.88,1.75,0.0,1,1
S11C18,o__Actinomycetales (UID1812),229,457,227,67,378,12,0,0,0,83.01,2.39,75.0,1,1
S11C1866,k__Bacteria (UID203),5449,103,57,84,18,1,0,0,0,26.48,1.75,100.0,3,2
S11C188,o__Lactobacillales (UID355),490,336,184,44,291,1,0,0,0,85.87,0.54,100.0,1,1
S11C205,g__Lactobacillus (UID377),91,430,154,80,350,0,0,0,0,86.04,0.0,0.0,1,1
S11C2228,k__Bacteria (UID203),5449,104,58,96,8,0,0,0,0,7.93,0.0,0.0,3,2
S11C234,k__Bacteria (UID203),5449,104,58,70,34,0,0,0,0,50.86,0.0,0.0,1,1
S11C2551,o__Clostridiales (UID1120),304,250,143,93,148,8,1,0,0,65.15,4.31,9.09,2,1
S11C2669,k__Bacteria (UID203),5449,104,58,99,5,0,0,0,0,6.9,0.0,0.0,3,2
S11C3342,o__Lactobacillales (UID355),490,334,183,127,204,3,0,0,0,55.81,0.76,66.67,1,1
S11C3483,k__Bacteria (UID203),5449,103,57,86,17,0,0,0,0,27.54,0.0,0.0,3,2
S11C3574,o__Clostridiales (UID1212),172,263,149,21,237,5,0,0,0,90.21,2.37,80.0,0,0
S11C361,o__Bacteroidales (UID2617),213,406,265,1,404,1,0,0,0,99.62,0.38,100.0,0,0
S11C3760,k__Bacteria (UID203),5449,104,58,75,28,1,0,0,0,44.83,1.72,0.0,3,2
S11C389,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,3,2
S11C392,o__Bacteroidales (UID2657),160,492,269,2,489,1,0,0,0,99.26,0.12,0.0,0,0
S11C4296,k__Bacteria (UID203),5449,102,56,59,43,0,0,0,0,63.88,0.0,0.0,1,1
S11C442,o__Lactobacillales (UID355),490,336,184,21,313,2,0,0,0,93.13,0.45,100.0,0,0
S11C4428,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S11C4698,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,3,2
S11C48,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,3,2
S11C4901,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,13.79,0.0,0.0,3,2
S11C569,g__Lactobacillus (UID380),58,449,129,6,399,43,1,0,0,96.81,12.08,4.35,3,2
S11C5800,c__Spirochaetia (UID2496),72,215,125,117,94,4,0,0,0,49.58,2.0,0.0,3,2
S11C620,k__Bacteria (UID2329),174,149,89,12,132,5,0,0,0,87.08,2.73,40.0,1,1
S11C6387,k__Bacteria (UID2328),3167,126,75,46,79,1,0,0,0,83.94,1.33,0.0,1,1
S11C672,f__Enterobacteriaceae (UID5124),134,1173,336,28,1141,4,0,0,0,96.43,0.18,75.0,0,0
S11C717,c__Deltaproteobacteria (UID3218),61,284,169,0,282,1,1,0,0,100.0,0.59,0.0,0,0
S11C74,k__Bacteria (UID203),5449,104,58,86,18,0,0,0,0,22.44,0.0,0.0,3,2
S11C7710,k__Bacteria (UID203),5449,104,58,81,22,1,0,0,0,32.76,1.72,0.0,3,2
