genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
GCA_001435375.1_ASM143537v1_genomic.fna	0.0177677396089361	0.0148970552947348		1475258.0	31.0	19.0	0	0.1561429313082122	0.0001288258464755	0.0	0.0155664841626035		0.0	0.0		False					0.0	0.0	0.0	0.0	127	301	0.953081977525127	647	0.0
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.4069659846560931	0.0113895588316198	0.0194828178811677	2817405.0	50.0	11.0	0	5.396860151108245	0.003220985035757	0.0083644346481957	0.3018707102130074	0.0216730725309505	0.9765339896461004	0.9880760417550708		False	11607.0	88.08934263806324	0.2451020092818858	0.9500425871431556	553.0	281.0	271.0	1247.0	4922	6995	0.9434840899040728	16524	1518.0
GCA_900557215.1_UMGS2022_genomic.fna	0.0002241578606641	0.0002241578606641		1195586.0	44.0	1.0	0	0.0150256112387616	1.3792599440353316e-05	0.0	0.0001979118038409		0.0	0.0		False					0.0	0.0	0.0	0.0	1	6	0.9504444605684724	34	0.0
GCF_000014425.1_ASM1442v1_genomic.fna	0.0001013534914166	0.0001013534914166		1894360.0	1.0	1.0	0	0.0100674683212387	7.314961686713416e-06	0.0	8.949112835088258e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	2	0.9598065220783274	15	0.0
GCF_000016825.1_ASM1682v1_genomic.fna	0.0003490666717343	0.0003490666717343		1999618.0	1.0	1.0	0	0.0186809988127813	1.3211386639803874e-05	0.0	0.0003081783744276		0.0	0.0		False					0.0	0.0	0.0	0.0	3	7	0.9591449261319884	16	0.0
GCF_000146325.1_ASM14632v1_genomic.fna	9.31632101056862e-05	9.31632101056862e-05		1942827.0	4.0	1.0	0	0.0096536470460407	6.927298408597259e-06	0.0	8.225973100606243e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	1.0	8	0.0
GCF_000159215.1_ASM15921v1_genomic.fna	0.0012528086427192	0.0005195486889429		1867005.0	74.0	5.0	0	0.0284757959981067	2.0923361765814705e-05	0.0	0.0011056183846412		0.0	0.0		False					0.0	0.0	0.0	0.0	13	21	0.9619013628430836	150	0.0
GCF_000159355.1_ASM15935v1_genomic.fna	0.0029525430792153	0.0025459154989696		1780499.0	32.0	11.0	0	0.0566223121160621	4.251075284945702e-05	0.0	0.0026037000168304		0.0	0.0		False					0.0	0.0	0.0	0.0	24	25	0.9858240880460568	156	0.0
GCF_000159435.1_ASM15943v1_genomic.fna	0.0089440759545993	0.0045213100293394	0.0027618160737412	1877332.0	112.0	35.0	0	0.1294831154902001	9.507126240983115e-05	0.0002386365331225	0.0078665148114916	0.0	0.9799107142857144	0.9799107142857144		False					9.0	9.0	9.0	0.0	90	140	0.9608911337953976	1234	9.0
GCF_000160835.1_ASM16083v1_genomic.fna	0.0001137697924699	0.0001137697924699		2302896.0	20.0	1.0	0	0.0106749594542421	7.04055128446612e-06	0.0	0.000100453680942		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.9924528301886792	3	0.0
