genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
GCA_001311425.1_ASM131142v1_genomic.fna	0.0001897374943552	0.0001618251484255		3009421.0	108.0	4.0	0	0.0157258042141445	9.097784582643004e-06	0.0	0.0001675241737739		0.0	0.0		False					0.0	0.0	0.0	0.0	5	7	0.9711362470881548	22	0.0
GCA_001311745.1_ASM131174v1_genomic.fna	0.0182311390604972	0.0005247837415362	0.005891339788177	2501983.0	141.0	5.0	0	1.696148854421064	0.001078408372127	0.000205437047334	0.015969213957181	0.0004991014660549	0.9883268482490272	0.9922178988326849		False	1.0	2.0	0.0222222222222222	1.0	6.0	4.0	3.0	5.0	265	283	0.9704848492173124	777	8.0
GCA_001311765.1_ASM131176v1_genomic.fna	0.3815548323756656	0.0022271264195339	0.0037314593297398	2025929.0	114.0	7.0	0	30.20860558205733	0.0213440253505318	0.0014872189499237	0.2860289880579777	0.0036429767494502	0.9830733488217724	0.9860604049120478		False	60.0	67.7	0.6045826172302893	0.8062034005072216	51.0	42.0	42.0	31.0	4542	7342	0.9498464347759896	21103	73.0
GCA_001435375.1_ASM143537v1_genomic.fna	0.0032340105934012	0.0030286227900475		1475258.0	31.0	8.0	0	0.0606640110923693	5.005088936207563e-05	0.0	0.0028515579170923		0.0	0.0		False					0.0	0.0	0.0	0.0	28	52	0.953652113368822	130	0.0
GCA_002299975.1_ASM229997v1_genomic.fna	0.0534542354230803	0.0035875833161836	0.0041998566433031	1190495.0	150.0	8.0	0	1.1478376048290997	0.0010655136042412	0.002916433920344	0.0461034865435389	0.0021820230796675	0.9925115207373272	0.9927995391705068		False	356.0	51.29213483146067	0.2475632150985675	0.9978613269013908	26.0	25.0	25.0	34.0	336	393	0.942389707784957	1053	59.0
GCA_002417825.1_ASM241782v1_genomic.fna	6.296112465358079e-05	6.296112465358079e-05		952969.0	93.0	1.0	0	0.0080131351962265	8.289789292867106e-06	0.0	5.5593127713859936e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	2	0.970873786407767	5	0.0
GCA_002418005.1_ASM241800v1_genomic.fna	0.0001607308155765	0.0001357391338863		2040679.0	99.0	2.0	0	0.0143811069054239	1.0116313202714556e-05	0.0	0.0001419152392336		0.0	0.0		False					0.0	0.0	0.0	0.0	3	9	0.9590396952611734	31	0.0
GCA_002418055.1_ASM241805v1_genomic.fna	0.0147476033429729	0.0004627775064523	9.207468665106688e-05	1093398.0	56.0	5.0	0	1.2112970317898115	0.0011643873810799	0.0001655389894622	0.0129377126132212	0.0005154361660848	1.0	1.0		False					0.0	0.0	0.0	0.0	129	135	0.9717974670563398	286	0.0
GCA_003666485.1_ASM366648v1_genomic.fna	0.0138582416823104	0.0037758219532371	0.0006971938030253	3097074.0	5.0	4.0	0	0.6040213040487242	0.0003432785448744	0.000367766478941	0.0121622618913443	0.0002789632320385	0.986830553116768	0.986830553116768		False	1.0	33.0	0.0085470085470086	1.0	15.0	15.0	15.0	4.0	253	271	0.9842278693928708	644	19.0
GCA_004556255.1_ASM455625v1_genomic.fna	0.9409962904798008	0.0022805426188671	0.002571873901869	1477280.0	211.0	13.0	0	37.34015188784453	0.0311700985610534	0.0012631322430412	0.5643428614628755	0.002198738175294	0.992497320471597	0.9941050375133976		False	11.0	28.818181818181817	0.0978305124795462	0.6548954151728427	14.0	11.0	11.0	10.0	6968	7060	0.9789441908605182	15208	21.0
GCA_009809575.1_ASM980957v1_genomic.fna	0.0015391071757509	0.001216366600816		1970623.0	6.0	5.0	0	0.04784558252626	3.409356801014289e-05	0.0	0.0013581085708996		0.0	0.0		False					0.0	0.0	0.0	0.0	18	24	0.9634323387933976	71	0.0
GCA_014651235.1_ASM1465123v1_genomic.fna	0.0029523052300317	0.0019783113517591	0.0	1648881.0	58.0	8.0	0	0.0883339782757586	6.903452034511888e-05	9.824844849325054e-05	0.0026034905428105	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	25	30	0.9780662456236447	80	0.0
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.1335771747405857	0.0112447447207625	0.019833875968303	2817405.0	50.0	10.0	0	2.618068141022332	0.0015625304470958	0.0062472381499997	0.1112583074906972	0.0011720745577885	0.977842168058633	0.9875007101869212		False	637.0	51.76766091051805	0.1617795898258539	0.8567557647383597	390.0	220.0	213.0	716.0	2074	3916	0.9339003498441792	9221	929.0
GCA_900540605.1_UMGS258_genomic.fna	0.0002165141624544	0.000170783133749		2470970.0	35.0	3.0	0	0.0175728204293449	1.1194993645090768e-05	0.0	0.0001911637313322		0.0	0.0		False					0.0	0.0	0.0	0.0	4	8	0.9568143644259997	16	0.0
GCA_900554745.1_UMGS1753_genomic.fna	0.0009757904094401	0.000411829653118		1301509.0	201.0	1.0	0	0.0516123339198554	4.595607433441217e-05	0.0	0.0008612518410852		0.0	0.0		False					0.0	0.0	0.0	0.0	6	6	0.9863474449434084	21	0.0
GCA_900557215.1_UMGS2022_genomic.fna	7.199111565374636	0.7938876835292484	0.0005586116872934	1195586.0	44.0	44.0	5	31.13865228334385	0.0285833934628007	0.5687871888764171	0.9982651173629552	0.006566653719833	0.9825023454709616	0.9826935123832043		False	757.0	52.628797886393656	0.6047916064913941	0.9897020331286936	11899.0	11769.0	11765.0	502.0	43316	53401	0.9751042058862018	112282	12267.0
