genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
GCA_000615245.1_ASM61524v1_genomic.fna	0.000642623813267	0.0002538466282523	0.0	2934843.0	63.0	2.0	0	0.0464490569370252	2.717182517664434e-05	3.134750308619566e-05	0.000567275865285	0.0	0.967391304347826	0.967391304347826		False					3.0	3.0	3.0	0.0	7	13	0.9480340038314176	3.0	40
GCA_001311425.1_ASM131142v1_genomic.fna	0.0002558631710219	0.0001644834670855		3009421.0	108.0	1.0	0	0.0221946009972997	1.2840150876959786e-05	0.0	0.0002259016603889		0.0	0.0		False					0.0	0.0	0.0	0.0	3	10	0.9447033898305084	0.0	37
GCA_001311745.1_ASM131174v1_genomic.fna	0.0012578023112067	0.0003884918482659	0.0024345363401303	2501983.0	141.0	3.0	0	0.0759638917077836	4.829770487625532e-05	0.0001255004530406	0.0011100229090811	0.0	0.9968152866242038	1.0		False					1.0	0.0	0.0	1.0	12	13	0.9775695914108145	1.0	45
GCA_001311765.1_ASM131176v1_genomic.fna	0.1950196675204313	0.0176245070779874	0.0064651102167092	2025929.0	114.0	30.0	0	2.6915598032956445	0.0019017336142167	0.0107466747353929	0.1581911979036707	0.0025991595597935	0.9784585706411904	0.9828679037295608		False	757.0	99.3883751651255	0.4011316540118241	0.9691462144272314	469.0	373.0	364.0	291.0	1456	2276	0.963623751142799	655.0	5296
GCA_001435375.1_ASM143537v1_genomic.fna	0.0432121025610435	0.0077057707872114	0.0047441863814465	1475258.0	31.0	13.0	0	0.7632238326168024	0.0006296984145449	0.0030828505929132	0.0374375064471942	0.0	0.9826297273526824	0.9839489885664028		False	17.0	28.11764705882353	0.9057565789473682	1.0	79.0	73.0	73.0	45.0	232	545	0.9355623122912724	118.0	1517
GCA_002299975.1_ASM229997v1_genomic.fna	0.9413328069416504	0.0927966938122377	0.003049972565655	1190495.0	150.0	88.0	0	6.6021363172178775	0.0061286248450608	0.057951524365915	0.5644722951520744	0.0004135558942937	0.9744024582916612	0.9762867620414256		False	141.0	119.0	0.4367258174908344	0.9779495990836198	1766.0	1636.0	1628.0	388.0	4102	13134	0.9269986930403284	2016.0	33966
GCA_002418005.1_ASM241800v1_genomic.fna	0.0008129647043949	0.0004518104023219		2040679.0	99.0	3.0	0	0.042508468253156	2.990235601783787e-05	0.0	0.0007175902428651		0.0	0.0		False					0.0	0.0	0.0	0.0	6	6	0.983329356083204	0.0	25
GCA_003666485.1_ASM366648v1_genomic.fna	0.005969828295998	0.0005288862971953	0.0013747292002	3097074.0	5.0	3.0	0	0.3584063755169444	0.0002036901980716	0.0003135217305107	0.0052574891563464	0.0	0.972193614830072	0.972193614830072		False					27.0	27.0	27.0	2.0	69	87	0.9505965771619668	29.0	227
GCA_004556255.1_ASM455625v1_genomic.fna	0.5427515433770173	0.0775005415357955	0.0035178660561368	1477280.0	211.0	116.0	0	4.001637758868692	0.003340410711885	0.0367465883244882	0.3807521068021018	0.0003170957825518	0.9753523072672008	0.9775812839642628		False	193.0	108.75129533678756	0.4660338961355107	0.9893405205905208	1338.0	1217.0	1210.0	349.0	2942	3898	0.96325747313455	1559.0	8708
GCA_009809575.1_ASM980957v1_genomic.fna	0.0008083737985398	0.0003430387243018	0.0342857156481061	1970623.0	6.0	1.0	0	0.0510161376021709	3.635282642864245e-05	1.4208704556883787e-05	0.00071353937373	0.0	0.9285714285714286	1.0		False					2.0	0.0	0.0	2.0	6	13	0.954185203493162	2.0	116
GCA_014651235.1_ASM1465123v1_genomic.fna	0.0057687607535049	0.0005725094776396	0.0016151887061037	1648881.0	58.0	2.0	0	0.337748016578975	0.0002639558726683	0.0002771576602556	0.005080864266069	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	34	34	0.9942528735632186	0.0	87
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.0001519128417817	0.0001519128417817		2817405.0	50.0	2.0	0	0.0123462834238051	7.368579700388335e-06	0.0	0.0001341300430546		0.0	0.0		False					0.0	0.0	0.0	0.0	2	86	0.932490051047571	0.0	1587
GCA_900557215.1_UMGS2022_genomic.fna	2.028255600182672	0.3188160450189279	0.002442696962908	1195586.0	44.0	43.0	0	6.056449574730056	0.0055594532353836	0.1335545916395809	0.8331983162962576	0.0006548655669028	0.98410531325935	0.9850885543225032		False	563.0	91.79573712255772	0.3695802334419064	0.9896475522978896	2538.0	2381.0	2376.0	666.0	8937	10344	0.9751114498440092	3042.0	22487
GCF_000014425.1_ASM1442v1_genomic.fna	0.5729755695855064	0.0282126945247999	0.0027313255153638	1894360.0	1.0	1.0	0	5.250328168595653	0.0038148567415828	0.0192397432378217	0.3970599024749219	0.0023770460407703	0.989381842126924	0.9904518890443658		False	200.0	71.405	0.7175482532814531	0.9684534549137256	387.0	348.0	335.0	181.0	4009	4804	0.9756245560546072	516.0	10904
GCF_000014445.1_ASM1444v1_genomic.fna	0.0016104921419256	0.0002216052603307	0.0022241571082397	2075763.0	2.0	1.0	0	0.1207812312968356	8.384024184927925e-05	0.0001642769429843	0.0014210539066408	0.0	0.985337243401758	0.985337243401758		False					5.0	5.0	5.0	0.0	13	13	0.9830054842709954	5.0	31
