genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
GCA_001311765.1_ASM131176v1_genomic.fna	0.0003692133337347	0.0003267636723695		2025929.0	114.0	2.0	0	0.0206329397983877	1.4578295873886918e-05	0.0	0.0003259622364505		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.9672054597701149	0.0	14
GCA_001435375.1_ASM143537v1_genomic.fna	0.0374022713315229	0.0287515810793772	0.003318518479665	1475258.0	31.0	19.0	0	0.2526814461683555	0.0002084750229714	0.0002541928259328	0.0324867949934257	0.0	0.9973333333333332	0.9973333333333332		False					1.0	1.0	1.0	2.0	216	556	0.9512554003831268	3.0	1253
GCA_002299975.1_ASM229997v1_genomic.fna	0.0004577927668742	0.0004577927668742		1190495.0	150.0	1.0	0	0.0216657941294198	2.011190284624255e-05	0.0	0.0004041493228016		0.0	0.0		False					0.0	0.0	0.0	0.0	2	3	0.9698275862068966	0.0	14
GCA_003666485.1_ASM366648v1_genomic.fna	2.163332229065241e-05	2.163332229065241e-05		3097074.0	5.0	1.0	0	0.0046518642851915	2.643756423937983e-06	0.0	1.9102041136309644e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.9552238805970148	0.0	5
GCA_004556255.1_ASM455625v1_genomic.fna	0.0005009206108523	0.0005009206108523		1477280.0	211.0	3.0	0	0.0221589817685987	1.8497451424793352e-05	0.0	0.0004422150934529		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.9832471383093744	0.0	7
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.2878475050622825	0.0108670922355855	0.0226273801018589	2817405.0	50.0	7.0	0	3.953290717341337	0.0023594256449166	0.007178236710732	0.2244395478876802	0.0171595918702782	0.9756724683544304	0.9889240506329112		False	9402.0	106.10667942990852	0.2010716664103381	0.9338080712334662	492.0	224.0	214.0	1228.0	3098	4344	0.9426559913610884	1442.0	10657
GCA_900554745.1_UMGS1753_genomic.fna	0.0002043781487488	0.0002043781487488		1301509.0	201.0	1.0	0	0.014520590287381	1.2929260817048818e-05	0.0	0.0001804496223533		0.0	0.0		False					0.0	0.0	0.0	0.0	1	2	0.9614567716141929	0.0	6
GCA_900557215.1_UMGS2022_genomic.fna	0.0053103666319277	0.0053103666319277		1195586.0	44.0	11.0	0	0.0729460291572499	6.696002877638683e-05	0.0	0.0046780772866115		0.0	0.0		False					0.0	0.0	0.0	0.0	24	25	0.980722330732165	0.0	61
GCF_000014425.1_ASM1442v1_genomic.fna	0.0005400240714542	0.0005400240714542		1894360.0	1.0	1.0	0	0.0232333683259496	1.6881225123806637e-05	0.0	0.0004767275843711		0.0	0.0		False					0.0	0.0	0.0	0.0	5	6	0.9825880081839624	0.0	26
GCF_000016825.1_ASM1682v1_genomic.fna	0.0069298235963068	0.0060766606421826		1999618.0	1.0	1.0	0	0.0944832244087713	6.681946833515092e-05	0.0	0.0061003510726128		0.0	0.0		False					0.0	0.0	0.0	0.0	52	56	0.9820645891332233	0.0	125
GCF_000146325.1_ASM14632v1_genomic.fna	0.0002604452172014	0.0002604452172014		1942827.0	4.0	1.0	0	0.0161395358540379	1.1581465585385127e-05	0.0	0.0002299466849963		0.0	0.0		False					0.0	0.0	0.0	0.0	2	2	0.988593155893536	0.0	9
GCF_000159215.1_ASM15921v1_genomic.fna	0.000453132155511	0.0003342251359798		1867005.0	74.0	2.0	0	0.0257556564947005	1.892466564904819e-05	0.0	0.0004000356577071		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.981856093613843	0.0	11
GCF_000159315.1_ASM15931v1_genomic.fna	0.0001065769362364	0.0001065769362364		2721039.0	113.0	1.0	0	0.0100393653715818	6.111531269484669e-06	0.0	9.41030067310722e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.996551724137931	0.0	3
GCF_000159355.1_ASM15935v1_genomic.fna	0.0079657444345657	0.0072378586003136		1780499.0	32.0	6.0	0	0.0989193172298763	7.426638880759216e-05	0.0	0.0070090733955121		0.0	0.0		False					0.0	0.0	0.0	0.0	54	59	0.983757776726404	0.0	136
GCF_000159435.1_ASM15943v1_genomic.fna	0.1038234047041226	0.0914776928108613	0.0	1877332.0	112.0	13.0	0	0.3499444556883347	0.00025694208121	4.794037495765267e-06	0.0875993410479093	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	728	736	0.992294391679089	0.0	1539
GCF_000160835.1_ASM16083v1_genomic.fna	0.0012796930473629	0.0010612724152545		2302896.0	20.0	3.0	0	0.0435556444437333	2.8726642920616738e-05	0.0	0.0011293307862904		0.0	0.0		False					0.0	0.0	0.0	0.0	11	13	0.9692878481432692	0.0	30
GCF_000160855.1_ASM16085v1_genomic.fna	0.000275168243605	0.0001578753052338		2020582.0	49.0	1.0	0	0.0226309978726772	1.5959574829164632e-05	0.0	0.0002429440434186		0.0	0.0		False					0.0	0.0	0.0	0.0	2	3	0.957762223697531	0.0	8
GCF_000161935.1_ASM16193v1_genomic.fna	0.0003731540030906	0.0003731540030906		1725829.0	12.0	3.0	0	0.0193270280988999	1.4722057370432314e-05	0.0	0.000329440707218		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.9776331333554316	0.0	10
GCF_000166715.1_ASM16671v1_genomic.fna	0.002785496819312	0.0004107739256652	0.0085167146287858	1957281.0	43.0	1.0	0	0.1455260766605339	0.0001042475815256	0.000326984219435	0.0024565713692916	0.0	0.9921875	1.0		False					5.0	0.0	0.0	11.0	22	24	0.9858329011459184	11.0	63
GCF_000178475.1_ASM17847v1_genomic.fna	0.0001745839515162	0.0001745839515162		1540806.0	73.0	1.0	0	0.0132749008265321	1.0745455977208844e-05	0.0	0.0001541457475121		0.0	0.0		False					0.0	0.0	0.0	0.0	1	3	0.93960635484353	0.0	11
GCF_000193635.1_ASM19363v1_genomic.fna	0.0024621881332627	0.0023884130901949		2317857.0	72.0	17.0	0	0.0511779526181404	3.3715697734168536e-05	0.0	0.002171750451734		0.0	0.0		False					0.0	0.0	0.0	0.0	25	27	0.987097802944933	0.0	56
GCF_000255495.1_ASM25549v2_genomic.fna	0.0001311651013387	0.0001311651013387		2195706.0	220.0	1.0	0	0.0115684643326231	7.886500721693336e-06	0.0	0.0001158120777455		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.996551724137931	0.0	3
GCF_000296855.1_ASM29685v1_genomic.fna	0.0013221377119545	0.0009516485728903		1927182.0	96.0	4.0	0	0.0472882987560029	3.423471110142949e-05	0.0	0.0011667663978218		0.0	0.0		False					0.0	0.0	0.0	0.0	9	11	0.9711390878179708	0.0	39
GCF_000297025.1_ASM29702v1_genomic.fna	0.0819508575111341	0.0022163348549751	0.0071840584383676	1905398.0	30.0	4.0	0	2.3480611367955118	0.001703732965526	0.0014815802262834	0.0698064602074426	0.0049072950768239	0.9968119022316684	0.997874601487779		False	305.0	94.96393442622951	0.3348352424609829	0.9398533650380624	9.0	6.0	6.0	68.0	592	606	0.9799555349937712	74.0	1287
GCF_000349725.1_ASM34972v1_genomic.fna	0.0001207659623686	0.0001207659623686		2351656.0	54.0	1.0	0	0.011014010196424	7.198768667436583e-06	0.0	0.0001066306593185		0.0	0.0		False					0.0	0.0	0.0	0.0	1	2	0.9615384615384616	0.0	7
GCF_000423245.1_ASM42324v1_genomic.fna	5.917364723269383e-05	5.917364723269383e-05		1385752.0	17.0	1.0	0	0.0077016667389261	6.550516677633883e-06	0.0	5.224896548172708e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.9878048780487804	0.0	5
GCF_000423265.1_ASM42326v1_genomic.fna	0.0055748849486242	0.0032642686079872	0.0051589596702391	1720753.0	47.0	13.0	0	0.1745234825423351	0.0001334087138195	0.0002411734862586	0.0049105271555925	0.0	0.963855421686746	0.9686746987951798		False					15.0	13.0	13.0	3.0	45	54	0.9815780181548576	16.0	118
GCF_000614735.1_ASM61473v1_genomic.fna	0.0826043087930105	0.0043600757567071	0.0099627833276901	1918774.0	74.0	11.0	0	2.512178934190047	0.0018206236369038	0.0012773781591787	0.0703430247245057	0.0078044329348567	0.9959200326397388	1.0		False	171.0	108.4327485380117	0.4919069302179785	0.9574870101422356	10.0	0.0	0.0	64.0	607	615	0.9830000708916838	64.0	1312
