genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
GCA_000615245.1_ASM61524v1_genomic.fna	0.0001410637638878	0.0001410637638878		2934843.0	63.0	2.0	0	0.0119017614461933	6.96230672128694e-06	0.0	0.000124551546325		0.0	0.0		False					0.0	0.0	0.0	0.0	2	5	0.9430092316855272	0.0	18
GCA_001311425.1_ASM131142v1_genomic.fna	0.0001182951803685	0.0001182951803685		3009421.0	108.0	3.0	0	0.010914952160683	6.314582207403473e-06	0.0	0.000104449189069		0.0	0.0		False					0.0	0.0	0.0	0.0	3	6	0.9616616260451878	0.0	18
GCA_001311745.1_ASM131174v1_genomic.fna	0.0143574117010387	0.001399290083106	0.0029260655094805	2501983.0	141.0	9.0	0	0.6730718248515897	0.0004279378481852	0.0005847361872562	0.0125975723503378	0.0010315660068743	0.9952153110047848	0.9952153110047848		False	6.0	62.16666666666666	0.9999999999999996	1.0	7.0	7.0	7.0	6.0	182	203	0.9790051701392752	13.0	489
GCA_001311765.1_ASM131176v1_genomic.fna	0.1862824412898971	0.0022754992894617	0.0050981546644827	2025929.0	114.0	7.0	0	7.316253042265384	0.0051693313013351	0.0011950073275025	0.1516715505019717	0.0031010444462961	0.9739776951672862	0.9781082197439074		False	69.0	73.40579710144928	0.494036472222683	0.9982464877752176	63.0	53.0	52.0	32.0	1870	2240	0.9598562268675124	84.0	5328
GCA_001435375.1_ASM143537v1_genomic.fna	0.518468633960975	0.0404308941215705	0.0019805871880522	1475258.0	31.0	23.0	0	7.512909962284914	0.0061985321863568	0.015444756103678	0.3673309388798034	0.0006806297691982	0.9836295808646038	0.984375685758174		False	68.0	53.1764705882353	0.5752588448809386	0.8939752567693744	373.0	356.0	354.0	61.0	3820	5152	0.9594592299718464	415.0	11746
GCA_002299975.1_ASM229997v1_genomic.fna	0.0591266657986803	0.0138488611879932	0.0087832340517967	1190495.0	150.0	44.0	0	1.507589422263016	0.001399463680466	0.0016556138413013	0.0508693758971128	0.0016780121713717	0.9888381532217148	0.9928970065956368		False	118.0	41.90677966101695	0.4574455176969637	0.9907271740605074	22.0	14.0	13.0	36.0	377	552	0.9407155875641298	49.0	1328
GCA_002417825.1_ASM241782v1_genomic.fna	6.505982880869945e-05	6.505982880869945e-05		952969.0	93.0	1.0	0	0.0081455839670267	8.4268108674625e-06	0.0	5.7446178743147946e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.9516129032258064	0.0	5
GCA_002418005.1_ASM241800v1_genomic.fna	0.0015916271005875	0.0007227986371202	0.0	2040679.0	99.0	4.0	0	0.0742188049503577	5.22088237954632e-05	0.0001396593976808	0.0014044196082706	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	17	38	0.9723354533847186	0.0	121
GCA_002418055.1_ASM241805v1_genomic.fna	0.0011157876637784	0.0002707156954741	0.0	1093398.0	56.0	3.0	0	0.0840254929783452	8.07714550149935e-05	0.0001399307479984	0.000984755317044	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	10	11	0.9730005491731704	0.0	23
GCA_003482405.1_ASM348240v1_genomic.fna	9.664155689122416e-05	9.664155689122416e-05		2348886.0	347.0	1.0	0	0.0099786740907327	6.609284842400888e-06	0.0	8.53308538505404e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	1	1	0.9589041095890412	0.0	2
