genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
GCA_000615245.1_ASM61524v1_genomic.fna	6.678381092276477e-05	6.678381092276477e-05		2934843.0	63.0	2.0	0	0.0081894607774896	4.790680612496128e-06	0.0	5.896836634233793e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	2	6	0.9348976735524432	18	0.0
GCA_001311425.1_ASM131142v1_genomic.fna	0.0001339128024958	8.506619711897921e-05		3009421.0	108.0	2.0	0	0.0152729231332025	8.835781160760202e-06	0.0	0.0001182380139388		0.0	0.0		False					0.0	0.0	0.0	0.0	3	5	0.9724351630673232	14	0.0
GCA_001311745.1_ASM131174v1_genomic.fna	0.0118242210278806	0.000842132020881	0.0071702107809812	2501983.0	141.0	4.0	0	0.6993922408223293	0.0004446723210274	0.0005251834245076	0.0103864713469434	0.0001243255357059	0.9885844748858448	0.9961948249619482		False	8.0	5.375	1.0000000000000004	1.0	15.0	5.0	5.0	19.0	161	184	0.9662308204644356	508	24.0
GCA_001311765.1_ASM131176v1_genomic.fna	0.1373063912901192	0.0025405628726376	0.0073707659925503	2025929.0	114.0	9.0	0	5.407005895080994	0.0038203441923724	0.0014655005185275	0.114180030313996	0.0039740565158936	0.9784439205119568	0.9818120579319636		False	104.0	91.54807692307692	0.2490172495003255	0.8802274301641962	64.0	54.0	53.0	54.0	1504	1988	0.9564571840843954	5091	107.0
GCA_001435375.1_ASM143537v1_genomic.fna	0.8947221435165916	0.0717582958370671	0.0023217251511938	1475258.0	31.0	24.0	0	9.16927445089391	0.0075651169912489	0.0302665703219368	0.5461732005437783	0.0040888217267332	0.9766410606705336	0.978186378804506		False	219.0	54.0365296803653	0.6529354814424799	0.9993355481727576	1043.0	974.0	970.0	194.0	7177	11267	0.9595421283762084	24987	1164.0
GCA_002299975.1_ASM229997v1_genomic.fna	0.2184410686311156	0.0723228572988546	0.0028500581166099	1190495.0	150.0	97.0	0	1.969727135157924	0.0018284564387192	0.0066148954846513	0.17542193810206	0.000468764453464	0.993015873015873	0.9942857142857144		False	47.0	59.40425531914894	0.265385881773005	0.9360542427488536	55.0	45.0	44.0	38.0	1412	3184	0.9341921990112562	7671	82.0
GCA_002418005.1_ASM241800v1_genomic.fna	0.0026084455222991	0.0009075410684384	0.0104218254328316	2040679.0	99.0	4.0	0	0.1110488208972809	7.8116702725111e-05	0.0002151244757259	0.0023006069341628	0.0	0.9817767653758542	0.9931662870159452		False					8.0	3.0	3.0	6.0	31	57	0.9672353018791704	193	9.0
GCA_002418055.1_ASM241805v1_genomic.fna	0.0020733529785128	0.0005057627689093	0.0012913225218653	1093398.0	56.0	2.0	0	0.1122931630439197	0.000107944408843	0.0001170662466915	0.001829095841623	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	16	16	0.9918377706272286	37	0.0
GCA_003666485.1_ASM366648v1_genomic.fna	0.0162934434243417	0.0029317994984943	0.0041486670573552	3097074.0	5.0	4.0	0	0.7809514345661522	0.0004438318156637	0.0003990863634514	0.0142841106175525	0.0018668994343572	0.977346278317152	0.9781553398058253		False	2.0	107.5	0.0048266783677051	1.0	28.0	27.0	26.0	10.0	277	332	0.9806308713284284	818	36.0
GCA_004556255.1_ASM455625v1_genomic.fna	0.8201146702047005	0.0027110635763023	0.0035015316910668	1477280.0	211.0	11.0	0	32.13626354634212	0.0268260960783492	0.0013396241741579	0.5152690352407346	0.0015724608715194	0.9944416371905004	0.9969681657402728		False	31.0	21.161290322580644	0.7220905982348345	0.8966216486594637	11.0	6.0	6.0	13.0	6059	6151	0.9738641552457176	13276	19.0
