user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C1220	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	N/A	N/A	N/A	N/A	N/A	GCA_900548355.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900548355	81.05	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 81.81, 0.56; GCA_003343905.1, s__Gemmiger variabilis_C, 95.0, 80.26, 0.53; GCA_900540775.1, s__Gemmiger sp900540775, 95.0, 79.68, 0.45; GCA_900539695.1, s__Gemmiger sp900539695, 95.0, 79.6, 0.44; GCA_004561545.1, s__Gemmiger sp004561545, 95.0, 79.59, 0.45; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 79.56, 0.49; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 79.47, 0.49; GCA_900545545.1, s__Gemmiger sp900545545, 95.0, 79.44, 0.41; GCA_900772715.1, s__Gemmiger sp900772715, 95.0, 79.24, 0.36; GCA_900540595.1, s__Gemmiger sp900540595, 95.0, 79.15, 0.45; GCF_003324125.1, s__Gemmiger qucibialis, 95.0, 79.08, 0.42; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 78.94, 0.43; GCF_000157955.1, s__Gemmiger variabilis, 95.0, 78.91, 0.4; GCA_900556255.1, s__Gemmiger sp900556255, 95.0, 78.72, 0.41; GCA_900554145.1, s__Gemmiger sp900554145, 95.0, 78.68, 0.39; GCA_004555405.1, s__Gemmiger sp004555405, 95.0, 77.04, 0.18	70.56	11	0.9814394012121171	N/A
S1C1301	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	N/A	N/A	N/A	N/A	N/A	GCF_900106845.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	89.96	0.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900015215.1, s__Romboutsia ilealis, 95.0, 89.5, 0.86; GCF_000499525.1, s__Romboutsia dakarensis, 95.0, 80.97, 0.59; GCF_000686145.1, s__Romboutsia sp000686145, 95.0, 80.64, 0.57; GCF_900103615.1, s__Romboutsia lituseburensis, 95.0, 80.47, 0.59; GCF_900002575.1, s__Romboutsia hominis, 95.0, 80.38, 0.56	67.52	11	0.9956789186099824	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1349	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000161935.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus coleohominis	92.45	0.91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900557215.1, s__Limosilactobacillus sp900557215, 95.0, 79.27, 0.36; GCF_001437055.1, s__Limosilactobacillus secaliphilus, 95.0, 77.66, 0.16; GCF_900156885.1, s__Limosilactobacillus sp900156885, 95.0, 77.56, 0.14; GCF_014145545.1, s__Limosilactobacillus sp014145545, 95.0, 77.47, 0.14; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 77.46, 0.17; GCF_014145505.1, s__Limosilactobacillus sp014145505, 95.0, 77.36, 0.16; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 77.34, 0.13; GCF_014145615.1, s__Limosilactobacillus sp014145615, 95.0, 77.33, 0.16; GCF_001435935.1, s__Limosilactobacillus panis, 95.0, 77.3, 0.12; GCF_001435345.1, s__Limosilactobacillus pontis, 95.0, 77.3, 0.07; GCF_009663775.1, s__Limosilactobacillus sp009663775, 95.0, 77.28, 0.15; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 77.26, 0.16; GCF_014145435.1, s__Limosilactobacillus sp014145435, 95.0, 77.26, 0.15; GCF_000159435.1, s__Limosilactobacillus vaginalis, 95.0, 77.25, 0.17; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 77.14, 0.15; GCA_002299975.1, s__Limosilactobacillus sp002299975, 95.0, 77.12, 0.08; GCF_001434465.1, s__Limosilactobacillus oris, 95.0, 77.08, 0.12; GCF_002940945.1, s__Limosilactobacillus pontis_A, 95.0, 77.07, 0.09; GCF_001436045.1, s__Limosilactobacillus frumenti, 95.0, 77.04, 0.14; GCF_002871555.1, s__Limosilactobacillus vaginalis_A, 95.0, 77.01, 0.17; GCF_001435775.1, s__Limosilactobacillus ingluviei, 95.0, 76.96, 0.1; GCF_000160835.1, s__Limosilactobacillus antri, 95.0, 76.95, 0.1; GCA_003343585.1, s__Limosilactobacillus fermentum_A, 95.0, 76.88, 0.04; GCF_013487845.1, s__Limosilactobacillus sp013487845, 95.0, 76.78, 0.16; GCF_001436025.1, s__Limosilactobacillus mucosae, 95.0, 76.78, 0.1; GCF_012843675.1, s__Limosilactobacillus sp012843675, 95.0, 76.66, 0.12; GCF_000159215.1, s__Limosilactobacillus fermentum, 95.0, 76.56, 0.06; GCF_001293735.1, s__Limosilactobacillus gorillae, 95.0, 76.47, 0.09; GCF_900240275.1, s__Limosilactobacillus timonensis, 95.0, 76.43, 0.07; GCF_001434365.1, s__Limosilactobacillus gastricus, 95.0, 76.29, 0.09; GCF_001311375.1, s__Limosilactobacillus equigenerosi, 95.0, 76.24, 0.1	74.85	11	0.9986557632923655	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1381	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.51	0.95	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.51	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002161555.1, s__Barnesiella sp002161555, 95.0, 79.05, 0.32; GCF_000512915.1, s__Barnesiella viscericola, 95.0, 78.98, 0.29; GCF_002159975.1, s__Barnesiella sp002159975, 95.0, 78.64, 0.31; GCA_900538555.1, s__Barnesiella sp900538555, 95.0, 77.66, 0.12; GCF_902363425.1, s__Barnesiella sp003150885, 95.0, 77.52, 0.1; GCA_900542255.1, s__Barnesiella sp900542255, 95.0, 76.28, 0.06; GCA_900538705.1, s__Barnesiella sp900538705, 95.0, 76.09, 0.05	97.76	11	N/A	N/A
S1C1421	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	93.83	11	0.8413130339746607	N/A
S1C1493	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	GCA_002338885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	99.07	0.97	GCA_002338885.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885	99.07	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002491605.1, s__UBA1409 sp002491605, 95.0, 78.29, 0.19; GCF_900760125.1, s__UBA1409 sp900760125, 95.0, 77.94, 0.22; GCA_002305045.1, s__UBA1409 sp002305045, 95.0, 77.6, 0.24; GCA_900553675.1, s__UBA1409 sp900553675, 95.0, 76.97, 0.22	54.83	11	N/A	N/A
S1C1663	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	ANI	N/A	GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 78.44, 0.45; GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 78.2, 0.36; GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 77.99, 0.41; GCF_900766945.1, s__CAG-180 sp900766945, 95.0, 77.98, 0.31; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 77.96, 0.29; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 77.76, 0.43; GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 76.76, 0.08; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 76.73, 0.07; GCA_000432435.1, s__CAG-180 sp000432435, 95.0, 76.27, 0.11; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 76.27, 0.04; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 76.22, 0.05; GCA_004556705.1, s__CAG-180 sp004556705, 95.0, 75.5, 0.08	19.22	11	0.9602418664669378	N/A
S1C1665	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_002160915.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160915	88.21	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	N/A	GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 88.1, 0.9; GCA_900758465.1, s__Faecalibacterium sp900758465, 95.0, 82.33, 0.68; GCF_002549975.1, s__Faecalibacterium prausnitzii_H, 95.0, 82.08, 0.71; GCA_900539945.1, s__Faecalibacterium sp900539945, 95.0, 82.04, 0.75; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 81.97, 0.71; GCF_002550035.1, s__Faecalibacterium prausnitzii_E, 95.0, 81.88, 0.71; GCF_010509575.1, s__Faecalibacterium prausnitzii_C, 95.0, 81.72, 0.76; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0612, 81.63, 0.68; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 81.42, 0.57; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 81.4, 0.78; GCA_900540455.1, s__Faecalibacterium sp900540455, 95.0, 81.38, 0.67; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 81.29, 0.71; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 81.14, 0.67; GCA_003449675.1, s__Faecalibacterium sp003449675, 95.0, 81.12, 0.44; GCF_002549755.1, s__Faecalibacterium prausnitzii_D, 95.0, 81.03, 0.76; GCF_003293635.1, s__Faecalibacterium prausnitzii_G, 95.0, 81.0, 0.73; GCF_002550015.1, s__Faecalibacterium prausnitzii_A, 95.0612, 80.91, 0.71; GCA_900539885.1, s__Faecalibacterium sp900539885, 95.0, 80.88, 0.76; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 80.78, 0.78; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 80.73, 0.63; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 80.6, 0.54; GCA_002313795.1, s__Faecalibacterium prausnitzii_L, 95.0, 80.31, 0.62	12.96	11	0.9925800840955437	Genome domain questionable ( 14.2% Bacterial, 4.9% Archaeal)
S1C1676	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	GCF_000159435.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	99.29	1.0	GCF_000159435.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	99.29	1.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002871555.1, s__Limosilactobacillus vaginalis_A, 95.0, 91.72, 0.95; GCF_014145505.1, s__Limosilactobacillus sp014145505, 95.0, 82.02, 0.72; GCF_014145615.1, s__Limosilactobacillus sp014145615, 95.0, 79.51, 0.29; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 79.37, 0.3; GCF_001435345.1, s__Limosilactobacillus pontis, 95.0, 79.19, 0.18; GCF_001436045.1, s__Limosilactobacillus frumenti, 95.0, 79.18, 0.4; GCF_002940945.1, s__Limosilactobacillus pontis_A, 95.0, 79.18, 0.19; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 79.17, 0.27; GCF_900156885.1, s__Limosilactobacillus sp900156885, 95.0, 79.11, 0.27; GCF_001435935.1, s__Limosilactobacillus panis, 95.0, 79.01, 0.2; GCF_014145545.1, s__Limosilactobacillus sp014145545, 95.0, 78.93, 0.32; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 78.89, 0.29; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 78.88, 0.31; GCF_014145435.1, s__Limosilactobacillus sp014145435, 95.0, 78.77, 0.29; GCF_009663775.1, s__Limosilactobacillus sp009663775, 95.0, 78.66, 0.3; GCF_000160835.1, s__Limosilactobacillus antri, 95.0, 78.16, 0.19; GCF_000161935.1, s__Limosilactobacillus coleohominis, 95.0, 78.15, 0.15; GCF_001434465.1, s__Limosilactobacillus oris, 95.0, 78.11, 0.19; GCA_002299975.1, s__Limosilactobacillus sp002299975, 95.0, 77.88, 0.13; GCF_001437055.1, s__Limosilactobacillus secaliphilus, 95.0, 77.77, 0.14; GCA_900557215.1, s__Limosilactobacillus sp900557215, 95.0, 77.77, 0.11; GCF_012843675.1, s__Limosilactobacillus sp012843675, 95.0, 77.73, 0.1; GCF_001293735.1, s__Limosilactobacillus gorillae, 95.0, 77.31, 0.09; GCF_013487845.1, s__Limosilactobacillus sp013487845, 95.0, 77.23, 0.14; GCF_001436025.1, s__Limosilactobacillus mucosae, 95.0, 77.21, 0.11; GCF_001434365.1, s__Limosilactobacillus gastricus, 95.0, 77.08, 0.08; GCF_001311375.1, s__Limosilactobacillus equigenerosi, 95.0, 76.83, 0.07; GCF_900240275.1, s__Limosilactobacillus timonensis, 95.0, 76.76, 0.08; GCA_003343585.1, s__Limosilactobacillus fermentum_A, 95.0, 76.71, 0.05; GCF_000159215.1, s__Limosilactobacillus fermentum, 95.0, 76.71, 0.08; GCF_001435775.1, s__Limosilactobacillus ingluviei, 95.0, 75.86, 0.09	48.82	11	N/A	N/A
S1C1692	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001435345.1, s__Limosilactobacillus pontis, 95.0, 87.78, 0.79; GCF_002940945.1, s__Limosilactobacillus pontis_A, 95.0, 84.33, 0.76; GCA_002299975.1, s__Limosilactobacillus sp002299975, 95.0, 83.63, 0.83; GCF_001435935.1, s__Limosilactobacillus panis, 95.0, 79.34, 0.39; GCF_001434465.1, s__Limosilactobacillus oris, 95.0, 79.27, 0.36; GCF_000160835.1, s__Limosilactobacillus antri, 95.0, 79.23, 0.4; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 78.89, 0.14; GCF_014145545.1, s__Limosilactobacillus sp014145545, 95.0, 78.75, 0.13; GCF_002871555.1, s__Limosilactobacillus vaginalis_A, 95.0, 78.59, 0.16; GCF_014145505.1, s__Limosilactobacillus sp014145505, 95.0, 78.45, 0.14; GCF_000159435.1, s__Limosilactobacillus vaginalis, 95.0, 78.45, 0.18; GCF_900156885.1, s__Limosilactobacillus sp900156885, 95.0, 78.41, 0.28; GCF_014145435.1, s__Limosilactobacillus sp014145435, 95.0, 78.4, 0.15; GCF_009663775.1, s__Limosilactobacillus sp009663775, 95.0, 78.2, 0.15; GCF_014145615.1, s__Limosilactobacillus sp014145615, 95.0, 78.2, 0.16; GCF_001437055.1, s__Limosilactobacillus secaliphilus, 95.0, 78.19, 0.17; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 78.17, 0.11; GCF_001436045.1, s__Limosilactobacillus frumenti, 95.0, 78.02, 0.2; GCF_001436025.1, s__Limosilactobacillus mucosae, 95.0, 77.88, 0.13; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 77.87, 0.16; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 77.81, 0.15; GCF_000161935.1, s__Limosilactobacillus coleohominis, 95.0, 77.47, 0.09; GCA_900557215.1, s__Limosilactobacillus sp900557215, 95.0, 77.38, 0.07; GCF_012843675.1, s__Limosilactobacillus sp012843675, 95.0, 77.32, 0.16; GCF_900240275.1, s__Limosilactobacillus timonensis, 95.0, 77.22, 0.1; GCF_000159215.1, s__Limosilactobacillus fermentum, 95.0, 77.16, 0.2; GCA_003343585.1, s__Limosilactobacillus fermentum_A, 95.0, 77.16, 0.13; GCF_001293735.1, s__Limosilactobacillus gorillae, 95.0, 77.07, 0.12; GCF_013487845.1, s__Limosilactobacillus sp013487845, 95.0, 76.87, 0.08; GCF_001311375.1, s__Limosilactobacillus equigenerosi, 95.0, 76.73, 0.05; GCF_001434365.1, s__Limosilactobacillus gastricus, 95.0, 76.6, 0.05; GCF_001435775.1, s__Limosilactobacillus ingluviei, 95.0, 76.55, 0.13	67.62	11	0.9926361595227234	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
