scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	population_divergent_sites	consensus_divergent_sites
NZ_AP012544.1	2924929	0.000381205834398	0.0001145326946397		0	0.0371859413462523	2.174308631767065e-05	0.0	0.0003365481067498				0.0	0.0	0.0	0	0	0	0	0
NZ_AP014680.1	2277985	0.0012471548320116	0.0007155446589859		0	0.0514900733784017	3.411521998248651e-05	0.0	0.0011006315769337				0.0	0.0	0.0	0	0	0	0	0
NZ_AP014681.1	81630	0.1029645963493813	0.0398015435501653	0.0021621728480585	0	0.6202272878675222	0.002170844080716	0.007068479725591	0.0869071798749047	0.0			0.0	0.9878682842287696	0.9896013864818024	6	1	7	6	7
NZ_AP014682.1	40971	0.0270679260940665	0.0206487515559786		0	0.1979232238702889	0.0009778309388961	0.0	0.0236176124155249				0.0	0.0	0.0	0	0	0	0	0
NZ_AP017929.1	1936922	0.0013727966330084	0.0009783563819296		0	0.0474193341303757	3.407214673216813e-05	0.0	0.0012114450342334				0.0	0.0	0.0	0	0	0	0	0
NZ_CP018906.1	2095860	0.0028002824616148	0.0009184773792142	0.0011487379178896	0	0.1144110327341007	7.902907064904653e-05	0.0002170946532688	0.0024695949341155	0.0			0.0	0.9626373626373628	0.9626373626373628	17	0	17	17	17
NZ_CP019323.1	2506167	0.0001025470369692	0.0001025470369692		0	0.0101260318523306	6.396381702403426e-06	0.0	9.05449342037956e-05				0.0	0.0	0.0	0	0	0	0	0
NZ_CP019324.1	28011	0.1946735211167041	0.0491949591232016	0.0125985878886598	0	0.9703660497898676	0.0057980110544876	0.0176716290028917	0.1579338620126639	0.0			0.0	0.985858585858586	0.991919191919192	4	8	12	4	7
NZ_CP019982.1	89354	0.2536875797390156	0.0303176130895091	0.0149634193669083	0	1.9334607216550157	0.0064681604508681	0.0187344718759093	0.2006897677430243	0.0			0.0	0.985663082437276	0.9946236559139784	9	42	51	9	24
NZ_CP019983.1	46310	0.1193910602461671	0.0341610883178579	0.0055831271634662	0	0.8092117940682958	0.0037603606762799	0.0097387173396674	0.1000556097674888	0.0			0.0	0.9889135254988912	0.9977827050997784	1	5	6	1	5
NZ_CP025839.1	2103571	0.002800951334659	0.0010006793210212	0.004386443818841	0	0.113027338937442	7.793006144094972e-05	0.0002034635389059	0.00247018409026	0.0			0.0	0.9672897196261684	0.9672897196261684	14	0	14	14	14
NZ_AZFK01000004.1	74267	0.0635679373072831	0.0259469212436209	0.003516483437884	0	0.4372495236658468	0.0016044800756207	0.0012253086835337	0.0545842381780845	0.0			0.0	1.0	1.0	0	0	0	0	0
NZ_AZFK01000005.1	116312	0.0438475823646743	0.0049693926679964	0.0023039745873418	0	0.7897281947084525	0.0023156197688279	0.0024932938991677	0.0379774763452638	0.0			0.0	0.9896551724137932	0.9896551724137932	3	1	4	3	3
NZ_AZFK01000006.1	33057	0.0331851045164413	0.0087727258976918		0	0.3551954052527708	0.0019536294312801	0.0	0.028877293383237				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000007.1	19028	0.0590708429682573	0.0298507462686567		0	0.3769424063454199	0.0027326866781371	0.0	0.0508225906156556				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000008.1	14417	0.1541236040785184	0.0201151418464312	0.0016043182062854	0	1.0802423741264728	0.0089970228260314	0.0200457792883401	0.127236916859576	0.0			0.0	0.972318339100346	0.972318339100346	8	0	8	8	8
NZ_AZFK01000009.1	11008	20.97928779069768	0.7108466569767442	0.0034341755288509	3	34.92346188725328	0.3328762456401166	0.4572129360465116	0.9999999909880208	0.0	0.001755121550485	0.0	0.1906795058139535	0.9994039340353664	0.9998013113451222	1	20	21	1	3
NZ_AZFK01000011.1	42472	0.0246279902053117	0.0194245620644189		0	0.1855486690481622	0.0009003504792628	0.0	0.021511764635646				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000012.1	30222	0.034478194692608	0.0095956587916087		0	0.3546897727957374	0.0020403010387784	0.0	0.0299854871674313				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000015.1	23714	0.1001518090579404	0.0209580838323353	0.0	0	0.774943360731859	0.0050324180476687	0.0121868938179978	0.0846365206516668	0.0			0.0	1.0	1.0	0	0	0	0	0
NZ_AZFK01000016.1	83345	0.0102585638010678	0.0069230307756914		0	0.1297088729446068	0.0004492959622436	0.0	0.0090174089266227				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000019.1	1592	1.564070351758794	0.4064070351758794	0.0085544417371282	0	2.5358565331776317	0.0635754714986752	0.1796482412060301	0.7486915275718095	0.0			0.0	0.9790209790209792	0.9790209790209792	6	1	7	6	6
NZ_AZFK01000020.1	38523	0.0079692651143472	0.0079692651143472		0	0.0889143179014747	0.0004530199081966	0.0	0.0070121603614321				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000021.1	19327	0.0847001603973715	0.0150049154033217	0.0010175010660192	0	0.690178488819236	0.0049646705176992	0.0141253169141615	0.0720618912996702	0.0			0.0	0.978021978021978	0.978021978021978	6	0	6	6	6
NZ_AZFK01000022.1	12188	0.1087134886773875	0.0237938956350508	0.0	0	0.7033229434209035	0.0063709820195308	0.0151788644568427	0.0915305426717123	0.0			0.0	0.9945945945945946	0.9945945945945946	1	0	1	1	1
NZ_AZFK01000028.1	72139	0.0453014319577482	0.026837078418054		0	0.3067950771206395	0.0011422636007496	0.0	0.0392116796082071				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000029.1	68434	0.0651576701639535	0.0169360259520121	0.0	0	0.5294669413349153	0.0020239792667044	0.0040330829704532	0.0559104195126364	0.0			0.0	0.9818840579710144	0.9818840579710144	5	0	5	5	5
NZ_AZFK01000030.1	29163	0.0668998388368823	0.029695161677468		0	0.394144920348389	0.0023080609913874	0.0	0.0573616289897789				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000036.1	10205	0.0542871141597256	0.0281234688878001		0	0.3219740889260897	0.0031873936126439	0.0	0.0468047545931008				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000037.1	1289	1.0698215671062838	0.2226532195500387	0.0026229507610445	0	2.013861210111628	0.0561140487772922	0.1892940263770364	0.6111853176079562	0.0			0.0	0.9836065573770492	0.9836065573770492	4	0	4	4	4
NZ_AZFK01000038.1	35773	0.1302378889106309	0.0249350068487406	0.0192963364449414	0	1.009781109620172	0.0053389472613409	0.0122997791630559	0.1086339059277432	0.0			0.0	0.9818181818181818	0.9954545454545456	2	18	20	2	8
NZ_AZFK01000040.1	69012	0.0289080159972178	0.0125630325160841		0	0.276950476640521	0.0010542484147107	0.0	0.0252027498040386				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000041.1	1771	0.932806324110672	0.3246753246753247	0.0	0	1.7238821290624011	0.0409751860621189	0.1214003387916431	0.5611808826510467	0.0			0.0	0.9953488372093025	0.9953488372093025	1	0	1	1	1
NZ_AZFK01000042.1	105729	0.0147452449186126	0.0114348948727406		0	0.156332838912822	0.000480789756285	0.0	0.0129356570650113				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000044.1	24031	0.0707835712205068	0.0241354916566102		0	0.4752015727026727	0.0030654976242892	0.0	0.0605887158579857				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000045.1	420	9.35	0.919047619047619	0.0072508956427159	10	4.196810013059238	0.2050275858132887	0.8761904761904762	0.9997403172852396	0.0			0.0	0.9809782608695652	0.9891304347826086	4	5	9	4	7
NZ_AZFK01000047.1	64050	0.0256362217017954	0.0153005464480874		0	0.2233764504721505	0.0008826351298074	0.0	0.0223824941535103				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000048.1	50037	7.258168954973319	0.3554369766372884	0.0027030621332287	0	13.419350246477109	0.0599915656524224	0.2905449967024402	0.998353269031047	0.0	0.0022326716939911	0.0	0.0130903131682554	0.9992433622231394	0.9992433622231394	11	57	68	11	11
NZ_AZFK01000049.1	12436	2.05347378578321	0.0981022836925056	0.0137702366885017	0	8.622172901664221	0.077320353831978	0.0820199421035702	0.8368715501864619	0.0	0.0153411767062019	0.0	0.0123029913155355	0.9696078431372548	0.9823529411764704	18	32	50	18	31
NZ_AZFK01000051.1	818	24.114914425427877	0.9853300733496332	0.008745365098796	18	16.68905905032821	0.5838762674557796	0.8606356968215159	0.9999999994345896	0.0	0.0094956522402556	0.0	0.1124694376528117	0.9872159090909092	0.9943181818181818	4	18	22	4	9
NZ_AZFK01000052.1	53665	0.0050684803875896	0.0050684803875896		0	0.0710126108106883	0.0003065448042616	0.0	0.004465468198282				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000053.1	26105	0.005937559854434	0.005937559854434		0	0.0768264618306025	0.0004755074243981	0.0	0.005229145520466				0.0	0.0	0.0	0	0	0	0	0
NZ_AZFK01000063.1	25130	0.2386788698766414	0.0477914842817349	0.0057415540710549	0	1.2154399349677965	0.0076673607693493	0.0271786709112614	0.1900262523107603	0.0			0.0	0.9809663250366032	0.9809663250366032	13	7	20	13	13
NZ_AZFK01000073.1	749	26.08544726301736	0.9332443257676902	0.0082492418349928	23	16.98072933431275	0.6208769551874781	0.8384512683578104	0.999999999900757	0.0	0.0023142858630135	0.0	0.1121495327102803	0.9936305732484076	0.9968152866242038	2	12	14	2	4
